"Vertical Axis: Click Time [ms]","Horizontal Axis: Active Users (time values are fractions of a day)"
"0","0","0"
"6.07800025027245","0","2"
"11.3440002780408","0","3"
"16.6249997215346","0","4"
"21.9370000530034","0","5"
"27.3119998164475","0","6"
"32.6249996898696","0","7"
"37.9219999769703","0","8"
"43.2660001097247","0","9"
"48.5779998125508","0","11"
"53.8909996859729","0","12"
"59.219000232406","0","13"
"64.5309999352321","0","14"
"69.8439998086542","0","15"
"74.9060002388433","0","16"
"80.2190001122653","0","17"
"85.5309998150915","0","18"
"90.8439996885136","0","19"
"96.1560000199825","0","20"
"101.483999937773","0","22"
"106.811999855563","0","23"
"112.140999943949","0","24"
"117.453000275418","0","25"
"122.531000291929","0","26"
"127.594000264071","0","27"
"132.672000280581","0","28"
"137.983999983408","0","29"
"143.343999702483","0","30"
"148.672000248916","0","31"
"153.750000265427","0","32"
"158.828000281937","0","34"
"163.906000298448","0","35"
"169.234000216238","0","36"
"174.57799972035","0","37"
"179.906000266783","0","38"
"185.265999985859","0","39"
"190.593999903649","0","40"
"195.936999865808","0","41"
"201.312000257894","0","42"
"206.655999762006","0","44"
"211.983999679796","0","45"
"217.359000071883","0","46"
"222.453000303358","0","47"
"227.781000221148","0","48"
"232.859000237659","0","49"
"238.20299974177","0","50"
"243.561999918893","0","51"
"248.906000051647","0","52"
"254.000000283122","0","53"
"259.078000299633","0","54"
"264.421999803744","0","56"
"269.765999936499","0","57"
"275.093999854289","0","58"
"280.421999772079","0","59"
"285.765999904834","0","60"
"291.108999866992","0","61"
"296.452999999747","0","62"
"301.547000231221","0","63"
"306.890999735333","0","64"
"312.219000281766","0","65"
"317.297000298277","0","67"
"322.609000001103","0","68"
"327.703000232577","0","69"
"332.781000249088","0","70"
"337.84400022123","0","71"
"342.922000237741","0","72"
"348.297000001185","0","73"
"353.391000232659","0","74"
"358.46900024917","0","75"
"363.780999951996","0","76"
"369.12500008475","0","77"
"374.469000217505","0","78"
"379.562000278383","0","80"
"384.890999738127","0","81"
"390.21900028456","0","82"
"395.297000301071","0","83"
"400.640999805182","0","84"
"405.983999767341","0","85"
"411.109000258148","0","86"
"416.187000274658","0","87"
"421.515999734402","0","88"
"426.85899969656","0","89"
"432.187000242993","0","90"
"437.515999702737","0","92"
"442.84400024917","0","93"
"448.20299979765","0","94"
"453.53099971544","0","95"
"458.859000261873","0","96"
"464.202999765985","0","97"
"469.546999898739","0","98"
"474.874999816529","0","99"
"480.20299973432","0","100"
"485.516000236385","0","100"
"490.594000252895","0","100"
"495.937000215054","0","100"
"501.296999934129","0","100"
"506.641000066884","0","100"
"511.968999984674","0","100"
"517.343999748118","0","100"
"522.686999710277","0","100"
"528.030999843031","0","100"
"533.14100028947","0","100"
"538.21900030598","0","100"
"543.562000268139","0","100"
"548.905999772251","0","100"
"554.031000263058","0","100"
"559.109000279568","0","100"
"564.17200025171","0","100"
"569.250000268221","0","100"
"574.328000284731","0","100"
"579.406000301242","0","100"
"584.734000219032","0","100"
"590.077999723144","0","100"
"595.406000269577","0","100"
