"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Active Users (time values are fractions of a day)"
"0","1","0"
"6.07800025027245","1","2"
"11.3440002780408","1","3"
"16.6249997215346","1","4"
"21.9370000530034","1","5"
"27.3119998164475","1","6"
"32.6249996898696","1","7"
"37.9219999769703","1","8"
"43.2660001097247","1","9"
"48.5779998125508","1","11"
"53.8909996859729","1","12"
"59.219000232406","1","13"
"64.5309999352321","1","14"
"69.8439998086542","1","15"
"74.9060002388433","1","16"
"80.2190001122653","1","17"
"85.5309998150915","1","18"
"90.8439996885136","1","19"
"96.1560000199825","1","20"
"101.483999937773","1","22"
"106.811999855563","1","23"
"112.140999943949","1","24"
"117.453000275418","1","25"
"122.531000291929","1","26"
"127.594000264071","1","27"
"132.672000280581","1","28"
"137.983999983408","1","29"
"143.343999702483","1","30"
"148.672000248916","1","31"
"153.750000265427","1","32"
"158.828000281937","1","34"
"163.906000298448","1","35"
"169.234000216238","1","36"
"174.57799972035","1","37"
"179.906000266783","1","38"
"185.265999985859","1","39"
"190.593999903649","1","40"
"195.936999865808","1","41"
"201.312000257894","1","42"
"206.655999762006","1","44"
"211.983999679796","1","45"
"217.359000071883","1","46"
"222.453000303358","1","47"
"227.781000221148","1","48"
"232.859000237659","1","49"
"238.20299974177","1","50"
"243.561999918893","1","51"
"248.906000051647","1","52"
"254.000000283122","1","53"
"259.078000299633","1","54"
"264.421999803744","1","56"
"269.765999936499","1","57"
"275.093999854289","1","58"
"280.421999772079","1","59"
"285.765999904834","1","60"
"291.108999866992","1","61"
"296.452999999747","1","62"
"301.547000231221","1","63"
"306.890999735333","1","64"
"312.219000281766","1","65"
"317.297000298277","1","67"
"322.609000001103","1","68"
"327.703000232577","1","69"
"332.781000249088","1","70"
"337.84400022123","1","71"
"342.922000237741","1","72"
"348.297000001185","1","73"
"353.391000232659","1","74"
"358.46900024917","1","75"
"363.780999951996","1","76"
"369.12500008475","1","77"
"374.469000217505","1","78"
"379.562000278383","1","80"
"384.890999738127","1","81"
"390.21900028456","1","82"
"395.297000301071","1","83"
"400.640999805182","1","84"
"405.983999767341","1","85"
"411.109000258148","1","86"
"416.187000274658","1","87"
"421.515999734402","1","88"
"426.85899969656","1","89"
"432.187000242993","1","90"
"437.515999702737","1","92"
"442.84400024917","1","93"
"448.20299979765","1","94"
"453.53099971544","1","95"
"458.859000261873","1","96"
"464.202999765985","1","97"
"469.546999898739","1","98"
"474.874999816529","1","99"
"480.20299973432","1","100"
"485.516000236385","1","100"
"490.594000252895","1","100"
"495.937000215054","1","100"
"501.296999934129","1","100"
"506.641000066884","1","100"
"511.968999984674","1","100"
"517.343999748118","1","100"
"522.686999710277","1","100"
"528.030999843031","1","100"
"533.14100028947","1","100"
"538.21900030598","1","100"
"543.562000268139","1","100"
"548.905999772251","1","100"
"554.031000263058","1","100"
"559.109000279568","1","100"
"564.17200025171","1","100"
"569.250000268221","1","100"
"574.328000284731","1","100"
"579.406000301242","1","100"
"584.734000219032","1","100"
"590.077999723144","1","100"
"595.406000269577","1","100"
