"Vertical Axis: Request Hierarchy","Horizontal Axis: Active Users (time values are fractions of a day)"
"1119.71102472521","0","1"
"5026.02649219384","0","2"
"10057.6182168404","0","3"
"14807.9174867197","0","4"
"19620.5495391174","0","5"
"24197.6809901817","0","6"
"28979.084213217","0","7"
"33923.0539076894","0","8"
"38526.6451462407","0","9"
"43339.3909002401","0","10"
"48167.4567577723","0","11"
"52934.0681567071","0","12"
"57746.0210725106","0","13"
"62621.2574503184","0","14"
"67434.3906837322","0","15"
"72309.2840011789","0","16"
"77012.8432524245","0","17"
"81887.8868683031","0","18"
"86606.8606484902","0","19"
"91420.0226565108","0","20"
"96278.8385115985","0","21"
"101030.06750858","0","22"
"105827.368003475","0","23"
"110655.303118134","0","24"
"115232.619229539","0","25"
"120063.498293778","0","26"
"124890.369586079","0","27"
"129687.693827009","0","28"
"134514.791125688","0","29"
"139359.060718611","0","30"
"144203.157105163","0","31"
"149032.26974378","0","32"
"153938.460614408","0","33"
"158595.407516877","0","34"
"163422.707075899","0","35"
"168266.568795755","0","36"
"172859.896998082","0","37"
"177705.710641995","0","38"
"182548.139777542","0","39"
"187361.117125221","0","40"
"192221.782098004","0","41"
"196877.016771685","0","42"
"201690.003338413","0","43"
"206425.468041329","0","44"
"211254.324502136","0","45"
"216143.449237263","0","46"
"220971.83105674","0","47"
"225815.595278171","0","48"
"230660.79096645","0","49"
"235223.326428359","0","50"
"240085.64189024","0","51"
"244926.069095374","0","52"
"249786.089293472","0","53"
