"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"1014.0322303533","0","CLICK User:1 Request:1"
"2154.61853391981","0","CLICK User:1 Request:2"
"3295.24981526982","0","CLICK User:1 Request:3"
"4435.96434742404","0","CLICK User:1 Request:4"
"4936.11869664999","0","CLICK User:2 Request:1"
"5578.31791470704","0","CLICK User:1 Request:5"
"6061.44803319975","0","CLICK User:2 Request:2"
"6701.77578435248","0","CLICK User:1 Request:6"
"7201.67367640301","0","CLICK User:2 Request:3"
"7846.63078687375","0","CLICK User:1 Request:7"
"8346.47336463154","0","CLICK User:2 Request:4"
"8986.84385864684","0","CLICK User:1 Request:8"
"9468.23437056944","0","CLICK User:2 Request:5"
"9952.50206380979","0","CLICK User:3 Request:1"
"10123.7333236487","0","CLICK User:1 Request:9"
"10609.2930805452","0","CLICK User:2 Request:6"
"11093.2973324822","0","CLICK User:3 Request:2"
"11264.4095827822","0","CLICK User:1 Request:10"
"11749.2284633941","0","CLICK User:2 Request:7"
"12233.0519661018","0","CLICK User:3 Request:3"
"12406.4407627226","0","CLICK User:1 Request:11"
"12889.4862335856","0","CLICK User:2 Request:8"
"13378.2874639095","0","CLICK User:3 Request:4"
"13530.037197465","0","CLICK User:1 Request:12"
"14046.5260249557","0","CLICK User:2 Request:9"
"14515.317170199","0","CLICK User:3 Request:5"
"14671.699894819","0","CLICK User:1 Request:13"
"14733.639889986","0","CLICK User:4 Request:1"
"15186.3661443005","0","CLICK User:2 Request:10"
"15671.5384217827","0","CLICK User:3 Request:6"
"15858.4948645708","0","CLICK User:1 Request:14"
"15878.0920480117","0","CLICK User:4 Request:2"
"16328.1039908703","0","CLICK User:2 Request:11"
"16796.5598979759","0","CLICK User:3 Request:7"
"16985.7333823153","0","CLICK User:1 Request:15"
"17045.7633581922","0","CLICK User:4 Request:3"
"17467.6482625585","0","CLICK User:2 Request:12"
"17921.931418658","0","CLICK User:3 Request:8"
"18124.9248158635","0","CLICK User:1 Request:16"
"18171.280148734","0","CLICK User:4 Request:4"
"18608.4348709124","0","CLICK User:2 Request:13"
"19061.5558681341","0","CLICK User:3 Request:9"
"19249.6510031303","0","CLICK User:1 Request:17"
"19296.6335106836","0","CLICK User:4 Request:5"
"19546.0937074405","0","CLICK User:5 Request:1"
"19733.2859343855","0","CLICK User:2 Request:14"
"20202.2223494886","0","CLICK User:3 Request:10"
