"Vertical Axis: ","Horizontal Axis: Active Users (time values are fractions of a day)"
"6.09745177110499","100","2"
"11.3805126070492","100","3"
"16.6905740813427","100","4"
"22.0610840204551","100","5"
"27.3753954762407","100","6"
"32.6845671726434","100","7"
"38.0241337935408","100","8"
"43.3286685877674","100","9"
"48.6398796495085","100","11"
"53.9721936726595","100","12"
"59.2876577889089","100","13"
"64.5998145015637","100","14"
"69.9129461984694","100","15"
"74.9727926314657","100","16"
"80.2828560613151","100","17"
"85.6082951883549","100","18"
"90.9102824520994","100","19"
"96.2353715346504","100","20"
"101.564640757415","100","22"
"106.899011466541","100","23"
"112.21913231989","100","24"
"117.532620766047","100","25"
"122.600576330232","100","26"
"127.684860226649","100","27"
"132.748073288644","100","28"
"138.100692685802","100","29"
"143.436514976065","100","30"
"148.761339779218","100","31"
"153.840754900413","100","32"
"158.919055634166","100","34"
"163.9968135615","100","35"
"169.339826709819","100","36"
"174.672967933075","100","37"
"180.022593374298","100","38"
"185.353279257559","100","39"
"190.69751323143","100","40"
"196.076882397064","100","41"
"201.421740751967","100","42"
"206.754005606858","100","44"
"212.123677729991","100","45"
"217.460629493413","100","46"
"222.54245609428","100","47"
"227.875926130276","100","48"
"232.957543486672","100","49"
"238.324269425304","100","50"
"243.669202929423","100","51"
"249.012914769894","100","52"
"254.091086716328","100","53"
"259.183343972488","100","54"
"264.529353591029","100","56"
"269.86158240782","100","57"
"275.189444189136","100","58"
"280.533899420178","100","59"
"285.872474015552","100","60"
"291.220730288347","100","61"
"296.565888402018","100","62"
"301.65394512431","100","63"
"306.986700264978","100","64"
"312.315628103572","100","65"
"317.383199261359","100","67"
"322.720665615323","100","68"
"327.801957790725","100","69"
"332.863877112873","100","70"
"337.944521719939","100","71"
"343.064198382755","100","72"
"348.404228191013","100","73"
"353.48560585214","100","74"
"358.552946254342","100","75"
"363.898164431513","100","76"
"369.229964143488","100","77"
"374.580734143585","100","78"
"379.656562216706","100","80"
"384.993513980129","100","81"
"390.322758618763","100","82"
"395.413457576312","100","83"
"400.760329594963","100","84"
"406.126304600166","100","85"
"411.204491911681","100","86"
"416.286698169739","100","87"
"421.631909362782","100","88"
"426.958635245541","100","89"
"432.294275948479","100","90"
"437.622755685429","100","92"
"442.972986510855","100","93"
"448.303328775026","100","94"
"453.638846557314","100","95"
"458.966271132225","100","96"
"464.317609081601","100","97"
"469.653348400425","100","98"
"474.982929394658","100","99"
"480.295896545511","100","100"
"485.624244422126","100","100"
"490.703356152807","100","100"
"496.076280085877","100","100"
"501.417085411693","100","100"
"506.745759866128","100","100"
"512.109570350422","100","100"
"517.465285113052","100","100"
"522.807987607364","100","100"
"528.155328400677","100","100"
"533.243929605578","100","100"
"538.331330657947","100","100"
"543.677994270221","100","100"
"549.047291764736","100","100"
"554.141160119512","100","100"
"559.202841422583","100","100"
"564.273423018847","100","100"
"569.356914635799","100","100"
"574.433002797842","100","100"
"579.516375963984","100","100"
"584.847901618781","100","100"
"590.182069508834","100","100"
"595.541958545011","100","100"
