"Vertical Axis: % of users","Horizontal Axis: User Wait Time              (time values are fractions of a day)"
"1","0","<100ms"
"2","0","<200ms"
"3","0","<500ms"
"4","0","<1s"
"5","0","<2s"
"6","0","<5s"
"7","0","<10s"
"8","0","<20s"
"9","0","<50s"
"10","0","<100s"
"1","33.3333333333333",""
"2","66.6666666666667",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","9.09090909090909",""
"2","90.9090909090909",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","25",""
"2","75",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","40.9090909090909",""
"2","59.0909090909091",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","19.2307692307692",""
"2","80.7692307692308",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","31.25",""
"2","68.75",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","25",""
"2","75",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","30.952380952381",""
"2","69.0476190476191",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","31.25",""
"2","68.75",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","25",""
"2","75",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","36.8421052631579",""
"2","63.1578947368421",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","31.25",""
"2","68.75",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","31.8181818181818",""
"2","68.1818181818182",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","11.7647058823529",""
"2","88.2352941176471",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","23.0769230769231",""
"2","75.6410256410256",""
"3","1.28205128205128",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","20.9876543209877",""
"2","79.0123456790123",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","12.6436781609195",""
"2","87.3563218390805",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","23.0769230769231",""
"2","76.9230769230769",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","5.31914893617021",""
"2","85.1063829787234",""
"3","9.57446808510638",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","12",""
"2","85",""
"3","3",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","5.76923076923077",""
"2","75.9615384615385",""
"3","18.2692307692308",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","43.6893203883495",""
"3","56.3106796116505",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","19",""
"3","81",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","2.97029702970297",""
"2","25.7425742574257",""
"3","71.2871287128713",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","87.6288659793814",""
"4","12.3711340206186",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","3.63636363636364",""
"3","96.3636363636364",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","37.2262773722628",""
"2","62.7737226277372",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","30.4964539007092",""
"2","63.1205673758865",""
"3","6.38297872340426",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","34.2857142857143",""
"2","65.7142857142857",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","24.6376811594203",""
"2","44.2028985507246",""
"3","31.1594202898551",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","22.3776223776224",""
"2","55.9440559440559",""
"3","21.6783216783217",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","3.3112582781457",""
"2","50.3311258278146",""
"3","46.3576158940397",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0.671140939597315",""
"2","12.751677852349",""
"3","86.5771812080537",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","25.4901960784314",""
"3","74.5098039215686",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0.657894736842105",""
"3","99.3421052631579",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","99.3421052631579",""
"4","0.657894736842105",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","99.3670886075949",""
"4","0.632911392405063",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","64.4736842105263",""
"4","35.5263157894737",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","73.4177215189873",""
"4","26.5822784810127",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","46.9798657718121",""
"4","53.0201342281879",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0.649350649350649",""
"4","99.3506493506493",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","100",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","100",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0.636942675159236",""
"4","99.3630573248408",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","100",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","100",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","100",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","100",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","98.7012987012987",""
"5","1.2987012987013",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","86.7549668874172",""
"5","13.2450331125828",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","96.1290322580645",""
"5","3.87096774193548",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","1.36054421768707",""
"5","98.6394557823129",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","1.32450331125828",""
"5","98.6754966887417",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","3.26797385620915",""
"5","96.7320261437908",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","100",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","49.3243243243243",""
"6","50.6756756756757",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","49.3055555555556",""
"6","50.6944444444444",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","68.4931506849315",""
"6","31.5068493150685",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","43.046357615894",""
"6","56.953642384106",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","38.7096774193548",""
"6","61.2903225806452",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","100",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
