"Vertical Axis: Available System Memory [MB]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"6.09737438696818","1374",""
"11.3804679086308","1376",""
"16.6905542464196","1378",""
"22.0610625093413","1380",""
"27.3753745238571","1382",""
"32.6845252678762","1384",""
"38.0241117236967","1386",""
"43.328645679828","1388",""
"48.6398584177598","1390",""
"53.9721514885272","1392",""
"59.2876351603346","1393",""
"64.5997938285452","1395",""
"69.9129238492602","1397",""
"74.9727691647961","1398",""
"80.2828325946454","1400",""
"85.6082518867621","1402",""
"90.9102584266995","1404",""
"96.2353469505203","1405",""
"101.564616732015","1407",""
"106.898991072888","1408",""
"112.219090135757","1409",""
"117.532581375566","1411",""
"122.600551466737","1413",""
"127.6848389949","1413",""
"132.748051498165","1414",""
"138.100672850879","1415",""
"143.436491788761","1414",""
"148.761318547469","1413",""
"153.840683662309","1413",""
"158.919033564322","1412",""
"163.996792888482","1412",""
"169.339805198705","1411",""
"174.672840542583","1411",""
"180.022569069533","1410",""
"185.353247968666","1410",""
"190.697491161586","1409",""
"196.076861444681","1409",""
"201.42160162814","1408",""
"206.753858102077","1408",""
"212.123656498242","1407",""
"217.460605747379","1407",""
"222.54243206888","1406",""
"227.875902104876","1405",""
"232.957521696193","1405",""
"238.324246517365","1404",""
"243.669181418309","1403",""
"249.012887112748","1403",""
"254.091064367119","1403",""
"259.183321064549","1402",""
"264.529312803722","1402",""
"269.861552236388","1402",""
"275.189422957387","1402",""
"280.533877070969","1402",""
"285.872298294895","1402",""
"291.220707101042","1402",""
"296.565865214713","1402",""
"301.653923054466","1402",""
"306.986676518943","1402",""
"312.315532281337","1401",""
"317.383174956594","1401",""
"322.720642986748","1402",""
"327.801935441516","1402",""
"332.863853366838","1402",""
"337.944500208825","1402",""
"343.06417407799","1402",""
"348.404204444978","1402",""
"353.48552008705","1401",""
"358.552922787673","1401",""
"363.898142361669","1401",""
"369.229941794278","1401",""
"374.580702854692","1401",""
"379.656537632576","1401",""
"384.993491910285","1401",""
"390.322736828284","1401",""
"395.41336678265","1401",""
"400.760306687023","1400",""
"406.126280574766","1401",""
"411.204468165647","1400",""
"416.2866632491","1400",""
"421.631881426271","1400",""
"426.958611220141","1397",""
"432.294251084984","1396",""
"437.622710428281","1396",""
"442.972958574344","1396",""
"448.303284076607","1396",""
"453.638822252549","1396",""
"458.966249900476","1396",""
"464.317585894297","1396",""
"469.653325492486","1396",""
"474.982906486718","1395",""
"480.295874196301","1395",""
"485.624220396726","1395",""
"490.703228203585","1395",""
"496.076255222382","1395",""
"501.41706390058","1395",""
"506.745736120093","1395",""
"512.109454693264","1396",""
"517.46518342415","1395",""
"522.807964699424","1395",""
"528.155249619714","1395",""
"533.243908094464","1395",""
"538.331307750007","1395",""
"543.677969965457","1395",""
"549.047269974257","1395",""
"554.141138049668","1395",""
"559.202819632104","1395",""
"564.273398434717","1395",""
"569.356891727859","1395",""
"574.432980448632","1395",""
"579.51635445287","1394",""
"584.847875917191","1394",""
"590.18204688026","1393",""
"595.541937871992","1393",""
