"Vertical Axis: Click Time [ms]","Horizontal Axis: Active Users (time values are fractions of a day)"
"0","0","0"
"5.78200004529208","0","2"
"10.8600000618026","0","3"
"15.9380000783131","0","4"
"21.0629999404773","0","5"
"26.1879998026416","0","6"
"31.3130002934486","0","7"
"36.4380001556128","0","8"
"41.6570003377274","0","9"
"46.7970002442598","0","10"
"51.9070000620559","0","11"
"57.1250000735745","0","12"
"62.2660001507029","0","13"
"67.4070002278313","0","14"
"72.6100001949817","0","16"
"77.8439997928217","0","17"
"83.0940002342686","0","18"
"88.3909998927265","0","19"
"93.5630002291873","0","20"
"98.7969998270273","0","21"
"104.110000329092","0","22"
"109.313000296243","0","23"
"114.73499990534","0","24"
"120.032000192441","0","25"
"125.391000369564","0","27"
"130.719000287354","0","28"
"136.015999945812","0","29"
"141.328999819234","0","30"
"146.73499984201","0","31"
"152.032000129111","0","32"
"157.421999936923","0","33"
"162.734999810345","0","34"
"168.0789999431","0","35"
"173.360000015236","0","37"
"178.657000302337","0","38"
"183.890999900177","0","39"
"189.296999922954","0","40"
"194.499999890104","0","41"
"199.82899997849","0","42"
"205.093999835663","0","43"
"210.547000332735","0","44"
"215.79700014554","0","45"
"221.171999908984","0","47"
"226.516000041738","0","48"
"231.875000218861","0","49"
"237.079000356607","0","50"
"242.547000269406","0","51"
"247.828999883495","0","52"
"253.204000275582","0","53"
"258.594000083394","0","54"
"263.843999896199","0","55"
"269.188000028953","0","57"
"274.390999996103","0","58"
"279.828999820165","0","59"
"285.329000162892","0","60"
"290.672000125051","0","61"
"295.906999893487","0","62"
"301.219000224955","0","63"
"306.547000142746","0","64"
"312.04699985683","0","65"
"317.312999884598","0","67"
"322.703999863006","0","68"
"327.969000348821","0","69"
"333.23500037659","0","70"
"338.515999820083","0","71"
"343.969000317156","0","72"
"349.282000190578","0","73"
"354.641000367701","0","74"
"360.187999927439","0","75"
"365.672000055201","0","77"
"371.124999923632","0","78"
"376.657000067644","0","79"
"382.109999936074","0","80"
"387.594000063837","0","81"
"392.968999827281","0","82"
"398.374999850057","0","83"
"403.797000087798","0","85"
"409.07900033053","0","86"
"414.374999818392","0","87"
"419.688000320457","0","88"
"425.157000403851","0","89"
"430.50000036601","0","90"
"435.828999825753","0","91"
"441.157000372186","0","92"
"446.625000284985","0","93"
"452.016000263393","0","95"
"457.391000026837","0","96"
"462.843999895267","0","97"
"468.204000242986","0","98"
"473.500000359491","0","99"
"479.000000073574","0","100"
"484.422000311315","0","100"
"489.735000184737","0","100"
"495.031999843195","0","100"
"500.391000020318","0","100"
"505.797000043094","0","100"
"511.171999806538","0","100"
"516.515999939293","0","100"
"521.860000072047","0","100"
"527.141000144184","0","100"
"532.407000171952","0","100"
"537.718999874778","0","100"
"543.046999792568","0","100"
"548.438000399619","0","100"
"554.000000003725","0","100"
"559.437999827787","0","100"
"564.906999911182","0","100"
"570.157000352629","0","100"
"575.500000314787","0","100"
"580.875000078231","0","100"
"586.234999797307","0","100"
"591.640999820083","0","100"
"597.063000057824","0","100"
