"Vertical Axis: Request Hierarchy","Horizontal Axis: Active Users (time values are fractions of a day)"
"1148.85718715647","0","1"
"5347.23910441131","0","2"
"10146.6845646584","0","3"
"14736.6972618028","0","4"
"19448.9975681267","0","5"
"24329.0342767028","0","6"
"29532.1824421819","0","7"
"33779.3197180089","0","8"
"38789.4053573848","0","9"
"43367.4109418935","0","10"
"48439.7754463207","0","11"
"53092.2377006016","0","12"
"57709.2440519675","0","13"
"62596.2741074634","0","14"
"67562.8380143286","0","15"
"72239.535471687","0","16"
"76842.6439673199","0","17"
"81893.746830952","0","18"
"86625.9013366224","0","19"
"91280.6029816639","0","20"
"96442.726938759","0","21"
"100914.793360609","0","22"
"105756.753162762","0","23"
"110707.82627401","0","24"
"115217.550275244","0","25"
"120362.368960301","0","26"
"124888.080747693","0","27"
"129853.894559225","0","28"
"134511.286769687","0","29"
"139272.267844098","0","30"
"144244.56599931","0","31"
"149072.736339395","0","32"
"153986.59662052","0","33"
"158717.26602124","0","34"
"163259.705353613","0","35"
"168312.297233308","0","36"
"172855.659867385","0","37"
"177714.158922433","0","38"
"182665.982687744","0","39"
"187559.56972185","0","40"
"192208.409728052","0","41"
"197029.798479974","0","42"
"201826.591089091","0","43"
"206457.739181935","0","44"
"211476.597444647","0","45"
"216077.6621051","0","46"
"221000.579403248","0","47"
"225800.94928266","0","48"
"230650.534634989","0","49"
"235311.333423661","0","50"
"240308.630566175","0","51"
"245214.65689075","0","52"
"249737.599052394","0","53"
"254556.137162684","0","54"
"259274.593279313","0","55"
"264079.769635526","0","56"
"268961.956617391","0","57"
"273761.817214199","0","58"
"278632.803610515","0","59"
"283333.785997941","0","60"
"288091.99130057","0","61"
"293074.85253014","0","62"
"297685.589648964","0","63"
"302545.866024872","0","64"
"307468.275437241","0","65"
"312242.034392639","0","66"
"316860.8658363","0","67"
"321736.814036421","0","68"
"326468.827462708","0","69"
"331227.839571789","0","70"
"336389.296684355","0","71"
"340953.124209921","0","72"
"345746.133377287","0","73"
"350612.531201591","0","74"
"355340.197147962","0","75"
"360570.826739153","0","76"
"364936.010861716","0","77"
"369657.609835887","0","78"
"374649.994063491","0","79"
"379342.648018114","0","80"
