"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"892.933319737564","0","CLICK User:1 Request:1"
"2209.1357979855","0","CLICK User:1 Request:2"
"3496.3186661992","0","CLICK User:1 Request:3"
"4779.48901326845","0","CLICK User:1 Request:4"
"5120.63460579487","0","CLICK User:2 Request:1"
"6066.69255450064","0","CLICK User:1 Request:5"
"6405.6079753153","0","CLICK User:2 Request:2"
"7354.79118156078","0","CLICK User:1 Request:6"
"7694.76595489092","0","CLICK User:2 Request:3"
"8641.18987189713","0","CLICK User:1 Request:7"
"8973.27537438417","0","CLICK User:2 Request:4"
"9912.57827461311","0","CLICK User:1 Request:8"
"9943.06874197698","0","CLICK User:3 Request:1"
"10250.4131111636","0","CLICK User:2 Request:5"
"11205.6672007196","0","CLICK User:1 Request:9"
"11247.747967968","0","CLICK User:3 Request:2"
"11526.8644478558","0","CLICK User:2 Request:6"
"12503.511479811","0","CLICK User:1 Request:10"
"12550.4492889459","0","CLICK User:3 Request:3"
"12810.3175124213","0","CLICK User:2 Request:7"
"13791.1181449039","0","CLICK User:1 Request:11"
"13842.53473556","0","CLICK User:3 Request:4"
"14085.7910712116","0","CLICK User:2 Request:8"
"14522.3784028417","0","CLICK User:4 Request:1"
"15073.3478696315","0","CLICK User:1 Request:12"
"15122.8929933832","0","CLICK User:3 Request:5"
"15362.8919317958","0","CLICK User:2 Request:9"
"15794.7772691781","0","CLICK User:4 Request:2"
"16357.195118374","0","CLICK User:1 Request:13"
"16405.1079117597","0","CLICK User:3 Request:6"
"16651.0293906069","0","CLICK User:2 Request:10"
"17071.1288725243","0","CLICK User:4 Request:3"
"17650.2591809853","0","CLICK User:1 Request:14"
"17702.1931558341","0","CLICK User:3 Request:7"
"17935.4300616419","0","CLICK User:2 Request:11"
"18343.6677007832","0","CLICK User:4 Request:4"
"18977.4474130092","0","CLICK User:1 Request:15"
"19029.2785814957","0","CLICK User:3 Request:8"
"19223.7032918988","0","CLICK User:2 Request:12"
"19388.0834016614","0","CLICK User:5 Request:1"
"19619.1236595713","0","CLICK User:4 Request:5"
"20262.6060016008","0","CLICK User:1 Request:16"
"20315.4512654541","0","CLICK User:3 Request:9"
"20507.8011311494","0","CLICK User:2 Request:13"
"20673.3269172479","0","CLICK User:5 Request:2"
"20893.6169261736","0","CLICK User:4 Request:6"
"21540.2949257517","0","CLICK User:1 Request:17"
"21591.9028815115","0","CLICK User:3 Request:10"
"21796.0922407736","0","CLICK User:2 Request:14"
"21947.5137203192","0","CLICK User:5 Request:3"
"22169.9087453852","0","CLICK User:4 Request:7"
"22821.3759011271","0","CLICK User:1 Request:18"
"22874.1904348178","0","CLICK User:3 Request:11"
"23091.8798338895","0","CLICK User:2 Request:15"
"23245.342075599","0","CLICK User:5 Request:4"
"23442.512945081","0","CLICK User:4 Request:8"
"24097.867745761","0","CLICK User:1 Request:19"
"24155.5898864241","0","CLICK User:3 Request:12"
"24263.3038556576","0","CLICK User:6 Request:1"
"24371.1027518861","0","CLICK User:2 Request:16"
"24529.5424418467","0","CLICK User:5 Request:5"
"24726.6267081431","0","CLICK User:4 Request:9"
"25391.7101195822","0","CLICK User:1 Request:20"
"25442.6107228712","0","CLICK User:3 Request:13"
"25553.1460003995","0","CLICK User:6 Request:2"
"25660.8965664631","0","CLICK User:2 Request:17"
"25823.4451585327","0","CLICK User:5 Request:6"
"26003.4590988519","0","CLICK User:4 Request:10"
"26680.8736864602","0","CLICK User:1 Request:21"
"26740.5351797505","0","CLICK User:3 Request:14"
"26873.9236411332","0","CLICK User:6 Request:3"
"26950.6509905589","0","CLICK User:2 Request:18"
"27103.0773464225","0","CLICK User:5 Request:7"
"27293.3149324844","0","CLICK User:4 Request:11"
"27963.4509413906","0","CLICK User:1 Request:22"
"28027.4509749144","0","CLICK User:3 Request:15"
"28168.9122500206","0","CLICK User:6 Request:4"
"28243.8932881134","0","CLICK User:2 Request:19"
"28387.6878206588","0","CLICK User:5 Request:8"
"28567.6791324037","0","CLICK User:4 Request:12"
"29138.2499731111","0","CLICK User:7 Request:1"
"29248.4522474225","0","CLICK User:1 Request:23"
"29318.791075402","0","CLICK User:3 Request:16"
"29467.7750943206","0","CLICK User:6 Request:5"
"29549.7234983776","0","CLICK User:2 Request:20"
"29684.2176868848","0","CLICK User:5 Request:9"
"29850.1449206533","0","CLICK User:4 Request:13"
"30608.166401037","0","CLICK User:7 Request:2"
"30761.233341109","0","CLICK User:1 Request:24"
"30868.6838690392","0","CLICK User:3 Request:17"
"30876.1390064938","0","CLICK User:6 Request:6"
"30900.9594794869","0","CLICK User:2 Request:21"
"30996.3746789047","0","CLICK User:5 Request:10"
"31128.6646766558","0","CLICK User:4 Request:14"
"31886.1338522075","0","CLICK User:7 Request:3"
"32073.0467140377","0","CLICK User:1 Request:25"
"32197.927390213","0","CLICK User:3 Request:18"
"32214.8049542609","0","CLICK User:6 Request:7"
"32256.602724648","0","CLICK User:2 Request:22"
"32324.5381745445","0","CLICK User:5 Request:11"
"32426.7874827667","0","CLICK User:4 Request:15"
"33158.5899883924","0","CLICK User:7 Request:4"
"33392.0833513757","0","CLICK User:1 Request:26"
"33513.3303255023","0","CLICK User:3 Request:19"
"33545.6598534171","0","CLICK User:6 Request:8"
"33587.4978523807","0","CLICK User:2 Request:23"
"33666.4352592299","0","CLICK User:5 Request:12"
"33743.7319547596","0","CLICK User:4 Request:16"
"33776.1975334854","0","CLICK User:8 Request:1"
"34432.1549247181","0","CLICK User:7 Request:5"
"34707.4223120536","0","CLICK User:1 Request:27"
"34838.0791413434","0","CLICK User:3 Request:20"
"34914.7696145739","0","CLICK User:6 Request:9"
"34925.3731968728","0","CLICK User:2 Request:24"
"35016.4328147851","0","CLICK User:5 Request:13"
"35064.5260780351","0","CLICK User:4 Request:17"
"35090.7889131161","0","CLICK User:8 Request:2"
"35708.6336391916","0","CLICK User:7 Request:6"
"35998.7316823786","0","CLICK User:1 Request:28"
"36148.1783299274","0","CLICK User:3 Request:21"
"36251.8384319795","0","CLICK User:6 Request:10"
"36280.817254707","0","CLICK User:2 Request:25"
"36376.9872986651","0","CLICK User:5 Request:14"
"36402.3184510881","0","CLICK User:4 Request:18"
"36429.1232544918","0","CLICK User:8 Request:3"
"36977.7130892334","0","CLICK User:7 Request:7"
"37284.0036932068","0","CLICK User:1 Request:29"
"37445.1465200186","0","CLICK User:3 Request:22"
"37570.7356661252","0","CLICK User:6 Request:11"
"37668.0446816565","0","CLICK User:2 Request:26"
"37748.919206212","0","CLICK User:5 Request:15"
"37781.0129499699","0","CLICK User:4 Request:19"
"37796.2534344449","0","CLICK User:8 Request:4"
"38251.7554605404","0","CLICK User:7 Request:8"
"38565.5475765775","0","CLICK User:1 Request:30"
"38721.9275075464","0","CLICK User:9 Request:1"
"38724.7147332971","0","CLICK User:3 Request:23"
"38887.6156047766","0","CLICK User:6 Request:12"
"38982.3318326771","0","CLICK User:2 Request:27"
"39075.3768984606","0","CLICK User:5 Request:16"
"39105.6785150068","0","CLICK User:4 Request:20"
"39124.3401046781","0","CLICK User:8 Request:5"
"39521.4347074838","0","CLICK User:7 Request:9"
"39849.4574031057","0","CLICK User:1 Request:31"
"40012.6057920769","0","CLICK User:9 Request:2"
"40018.5501229905","0","CLICK User:3 Request:24"
"40215.4720781552","0","CLICK User:6 Request:13"
"40282.101775505","0","CLICK User:2 Request:28"
"40383.3082137534","0","CLICK User:5 Request:17"
"40433.9230265299","0","CLICK User:4 Request:21"
"40447.2093520266","0","CLICK User:8 Request:6"
"40797.8226282949","0","CLICK User:7 Request:10"
"41129.7648164781","0","CLICK User:1 Request:32"
"41307.5178549229","0","CLICK User:9 Request:3"
"41310.4668330752","0","CLICK User:3 Request:25"
"41528.0006257779","0","CLICK User:6 Request:14"
"41596.1936503103","0","CLICK User:2 Request:29"
"41731.7030516448","0","CLICK User:5 Request:18"
"41759.9627885667","0","CLICK User:4 Request:22"
"41764.0574430549","0","CLICK User:8 Request:7"
"42073.495095047","0","CLICK User:7 Request:11"
"42431.3863912872","0","CLICK User:1 Request:33"
"42632.0328421629","0","CLICK User:3 Request:26"
"42632.867585126","0","CLICK User:9 Request:4"
"43073.4238569427","0","CLICK User:6 Request:15"
"43095.3288755973","0","CLICK User:5 Request:19"
"43098.9061458928","0","CLICK User:2 Request:30"
"43128.4191147199","0","CLICK User:8 Request:8"
"43132.9062771944","0","CLICK User:4 Request:23"
"43353.0613527697","0","CLICK User:10 Request:1"
"43358.9777471718","0","CLICK User:7 Request:12"
"43711.8468967425","0","CLICK User:1 Request:34"
"43912.4078618931","0","CLICK User:3 Request:27"
"43926.5543525783","0","CLICK User:9 Request:5"
"44442.4093006234","0","CLICK User:6 Request:16"
"44468.8503706477","0","CLICK User:5 Request:20"
"44475.4472984695","0","CLICK User:2 Request:31"
"44496.1608249093","0","CLICK User:8 Request:9"
"44527.0329050201","0","CLICK User:4 Request:24"
"44688.1841127853","0","CLICK User:10 Request:2"
"44694.5385516874","0","CLICK User:7 Request:13"
"44989.2838335598","0","CLICK User:1 Request:35"
"45207.7216517742","0","CLICK User:9 Request:6"
"45208.3370931222","0","CLICK User:3 Request:28"
"45783.3202264534","0","CLICK User:6 Request:17"
"45854.6717529742","0","CLICK User:5 Request:21"
"45867.7630816207","0","CLICK User:2 Request:32"
"45895.0740946126","0","CLICK User:8 Request:10"
"45921.1220979203","0","CLICK User:4 Request:25"
"46033.9931471737","0","CLICK User:10 Request:3"
"46098.2881902588","0","CLICK User:7 Request:14"
"46272.6690124024","0","CLICK User:1 Request:36"
"46485.7083791376","0","CLICK User:9 Request:7"
"46499.3726856346","0","CLICK User:3 Request:29"
"47110.3455886153","0","CLICK User:6 Request:18"
"47225.8376413762","0","CLICK User:5 Request:22"
"47256.9902040622","0","CLICK User:2 Request:33"
"47296.0395804495","0","CLICK User:8 Request:11"
"47329.9547847562","0","CLICK User:4 Request:26"
"47398.8548823943","0","CLICK User:10 Request:4"
"47442.1754720223","0","CLICK User:7 Request:15"
"47572.8605171886","0","CLICK User:1 Request:37"
"47774.3327713438","0","CLICK User:9 Request:8"
"47793.5374467984","0","CLICK User:3 Request:30"
"48222.1324218581","0","CLICK User:11 Request:1"
"48402.6914035164","0","CLICK User:6 Request:19"
"48567.8308276611","0","CLICK User:5 Request:23"
"48628.2058194547","0","CLICK User:2 Request:34"
"48706.5682928976","0","CLICK User:8 Request:12"
"48742.2865196554","0","CLICK User:4 Request:27"
"48791.0684179134","0","CLICK User:10 Request:5"
"48880.3590959186","0","CLICK User:7 Request:16"
"48917.6118752523","0","CLICK User:1 Request:38"
"49082.383934271","0","CLICK User:9 Request:9"
"49086.1707284026","0","CLICK User:3 Request:31"
"49500.429244499","0","CLICK User:11 Request:2"
"49693.7060436452","0","CLICK User:6 Request:20"
"49869.7334437757","0","CLICK User:5 Request:24"
"49957.5409723862","0","CLICK User:2 Request:35"
"50048.0348759409","0","CLICK User:8 Request:13"
"50085.0177885737","0","CLICK User:4 Request:28"
"50153.0795115022","0","CLICK User:10 Request:6"
"50222.4553679308","0","CLICK User:7 Request:17"
"50275.9873112365","0","CLICK User:1 Request:39"
"50408.7734614315","0","CLICK User:3 Request:32"
"50413.7383382525","0","CLICK User:9 Request:10"
"50774.6928729769","0","CLICK User:11 Request:3"
"50978.0284924481","0","CLICK User:6 Request:21"
"51158.6746360222","0","CLICK User:5 Request:25"
"51264.9873098397","0","CLICK User:2 Request:36"
"51569.0231579712","0","CLICK User:8 Request:14"
"51612.4208523709","0","CLICK User:4 Request:29"
"51677.4802384102","0","CLICK User:10 Request:7"
"51746.1076756962","0","CLICK User:7 Request:18"
"51808.4792899656","0","CLICK User:1 Request:40"
"51833.8998392254","0","CLICK User:9 Request:11"
"51873.6621553857","0","CLICK User:3 Request:33"
"52070.4751581556","0","CLICK User:11 Request:4"
"52255.3698863962","0","CLICK User:6 Request:22"
"52437.0267729558","0","CLICK User:5 Request:26"
"52541.5738592475","0","CLICK User:2 Request:37"
"52864.710738376","0","CLICK User:8 Request:15"
"52957.4862168236","0","CLICK User:4 Request:30"
"53024.0267967018","0","CLICK User:10 Request:8"
"53030.7240165999","0","CLICK User:12 Request:1"
"53124.7499333016","0","CLICK User:7 Request:19"
"53212.129195191","0","CLICK User:1 Request:41"
"53226.0697937866","0","CLICK User:9 Request:12"
"53247.5504568318","0","CLICK User:3 Request:34"
"53379.0261052732","0","CLICK User:11 Request:5"
"53537.4414904688","0","CLICK User:6 Request:23"
"53723.1346442076","0","CLICK User:5 Request:27"
"53825.0031777782","0","CLICK User:2 Request:38"
"54155.8801467784","0","CLICK User:8 Request:16"
"54295.4808502198","0","CLICK User:4 Request:31"
"54403.9032893845","0","CLICK User:10 Request:9"
"54405.565791183","0","CLICK User:12 Request:2"
"54501.9283177052","0","CLICK User:7 Request:20"
"54591.3315798516","0","CLICK User:9 Request:13"
"54594.8169390244","0","CLICK User:1 Request:42"
"54672.332377439","0","CLICK User:3 Request:35"
"54716.5354814648","0","CLICK User:11 Request:6"
"54832.4206009423","0","CLICK User:6 Request:24"
"54997.0074408898","0","CLICK User:5 Request:28"
"55097.2810790198","0","CLICK User:2 Request:39"
"55430.3572102041","0","CLICK User:8 Request:17"
"55593.3678721737","0","CLICK User:4 Request:32"
"55765.2894432114","0","CLICK User:10 Request:10"
"55772.6493171618","0","CLICK User:12 Request:3"
"55881.5424865451","0","CLICK User:7 Request:21"
"55945.9568185342","0","CLICK User:9 Request:14"
"55981.3722135076","0","CLICK User:1 Request:43"
"56025.6881810398","0","CLICK User:3 Request:36"
"56064.5936843929","0","CLICK User:11 Request:7"
"56174.0550824197","0","CLICK User:6 Request:25"
"56284.308201182","0","CLICK User:5 Request:29"
"56381.3674643006","0","CLICK User:2 Request:40"
"56710.6428330975","0","CLICK User:8 Request:18"
"56874.0406951163","0","CLICK User:4 Request:33"
"57072.0697742311","0","CLICK User:10 Request:11"
"57074.2968729266","0","CLICK User:12 Request:4"
"57211.4087125598","0","CLICK User:7 Request:22"
"57312.6249285873","0","CLICK User:9 Request:15"
