"Vertical Axis: ","Horizontal Axis: Active Users (time values are fractions of a day)"
"5.8018882288112","100","2"
"10.8831340296043","100","3"
"15.9982967108948","100","4"
"21.1294681307261","100","5"
"26.2560244388602","100","6"
"31.3797996672761","100","7"
"36.5998323809311","100","8"
"41.7314396103415","100","9"
"46.8471336440805","100","10"
"52.0650529606416","100","11"
"57.1963609900141","100","12"
"62.3337871154015","100","13"
"67.5250980222347","100","14"
"72.7488708760471","100","16"
"77.9898034526735","100","17"
"83.2571754231334","100","18"
"88.4649688717421","100","19"
"93.6956409264306","100","20"
"99.0254275333876","100","21"
"104.173185139452","100","22"
"109.624503393588","100","23"
"114.935152372718","100","24"
"120.257258953303","100","25"
"125.603682870309","100","27"
"130.913811112865","100","28"
"136.213743366825","100","29"
"141.610496864825","100","30"
"146.914146071638","100","31"
"152.297116253602","100","32"
"157.593584659503","100","33"
"162.973674307768","100","34"
"168.228051051181","100","35"
"173.558615410618","100","37"
"178.770853837569","100","38"
"184.148412717259","100","39"
"189.381744607206","100","40"
"194.678210778186","100","41"
"200.015156674941","100","42"
"205.428176486118","100","43"
"210.66872325952","100","44"
"216.062424414276","100","45"
"221.377107146299","100","47"
"226.741585592582","100","48"
"231.986322004612","100","49"
"237.45721565171","100","50"
"242.731607508776","100","51"
"248.083500836","100","52"
"253.47879269572","100","53"
"258.732782518449","100","54"
"264.077821343215","100","55"
"269.300294590514","100","57"
"274.743560983309","100","58"
"280.17218165996","100","59"
"285.496027847115","100","60"
"290.7710161487","100","61"
"296.106456826217","100","62"
"301.405295924482","100","63"
"306.931007991239","100","64"
"312.216966960885","100","65"
"317.573241012475","100","67"
"322.867364148237","100","68"
"328.134773832987","100","69"
"333.389243325618","100","70"
"338.845052373975","100","71"
"344.165618535317","100","72"
"349.515789017878","100","73"
"355.044584716773","100","74"
"360.567374624429","100","75"
"365.905058045087","100","77"
"371.474883819033","100","78"
"376.98461229011","100","79"
"382.470119526364","100","80"
"387.83939690659","100","81"
"393.256937404056","100","82"
"398.636155712528","100","83"
"403.97238978697","100","85"
"409.284316023405","100","86"
"414.610645487066","100","87"
"419.997658920338","100","88"
"425.344417516751","100","89"
"430.689894665383","100","90"
"436.030235127649","100","91"
"441.463473430282","100","92"
"446.862103982489","100","93"
"452.272601406045","100","95"
"457.696468405901","100","96"
"463.096736317046","100","97"
"468.328176905165","100","98"
"473.893131110239","100","99"
"479.268118713412","100","100"
"484.602045511371","100","100"
"489.938886087478","100","100"
"495.281846715155","100","100"
"500.671741520221","100","100"
"506.05927149959","100","100"
"511.388332315979","100","100"
"516.722352701251","100","100"
"521.990988519491","100","100"
"527.230907280115","100","100"
"532.615353627347","100","100"
"537.927250530445","100","100"
"543.321762961494","100","100"
"548.826032917592","100","100"
"554.287571465088","100","100"
"559.735014366351","100","100"
"565.057344997758","100","100"
"570.309658909163","100","100"
"575.770660237544","100","100"
"581.086800417371","100","100"
"586.513080014359","100","100"
"591.906958565963","100","100"
"597.440715230567","100","100"
