"Vertical Axis: Open Requests","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.80183179705801","1",""
"10.8831060930928","2",""
"15.9982651426368","2",""
"21.1294413116751","2",""
"26.2559403499607","3",""
"31.37977256886","5",""
"36.5998033269592","6",""
"41.7314055277975","5",""
"46.8471054282039","7",""
"52.065019716193","7",""
"57.196331656677","6",""
"62.333754150318","6",""
"67.5250510888954","6",""
"72.7488404252496","9",""
"77.9897741193364","10",""
"83.2571441342405","9",""
"88.464934509833","8",""
"93.6956110343633","10",""
"99.0253982000506","11",""
"104.173149660083","10",""
"109.624474898346","13",""
"114.935124156841","13",""
"120.257225708854","14",""
"125.603654375067","17",""
"130.913781220798","17",""
"136.213713474757","17",""
"141.610463061646","18",""
"146.914114224014","19",""
"152.297081891693","21",""
"157.59355392934","24",""
"162.97364329824","25",""
"168.228020600384","25",""
"173.558583562995","26",""
"178.77082059312","27",""
"184.14838003154","29",""
"189.381715553234","30",""
"194.678182282944","31",""
"200.015121754301","32",""
"205.428135978176","34",""
"210.668691691262","35",""
"216.062393963479","32",""
"221.377077254232","35",""
"226.741556259245","37",""
"231.986293230005","38",""
"237.457175423133","38",""
"242.731575661152","41",""
"248.083468150282","43",""
"253.47874576238","41",""
"258.732753185112","45",""
"264.077788098767","43",""
"269.300263022256","44",""
"274.743529135686","47",""
"280.172151488527","47",""
"285.495995720126","48",""
"290.770976199489","50",""
"296.106426934149","51",""
"301.405264635589","51",""
"306.930975305521","53",""
"312.216936510087","52",""
"317.573208326757","57",""
"322.867330903788","57",""
"328.13474394092","59",""
"333.389214271646","58",""
"338.845017453336","58",""
"344.16558920198","59",""
"349.51575856708","61",""
"355.04455398661","62",""
"360.567342776805","63",""
"365.905024241908","62",""
"371.474850574584","67",""
"376.984577648835","66",""
"382.470079577153","71",""
"387.839355281188","70",""
"393.256906953258","69",""
"398.636120233158","74",""
"403.972359894903","71",""
"409.284258194826","76",""
"414.610615315634","74",""
"419.997627631445","79",""
"425.344383992938","76",""
"430.689864773316","79",""
"436.0302018832","80",""
"441.463441023929","82",""
"446.862071017406","81",""
"452.272570955247","86",""
"457.688821344612","83",""
"463.096701955137","85",""
"468.328116562301","84",""
"473.89309842452","89",""
"479.268088821345","91",""
"484.602012825652","89",""
"489.938854798585","89",""
"495.281812353246","89",""
"500.671708275772","87",""
"506.059239372602","90",""
"511.388302423911","87",""
"516.722321971088","91",""
"521.990958627423","87",""
"527.230875991222","86",""
"532.615318986072","92",""
"537.927217565361","89",""
"543.321684459896","92",""
"548.826001908064","88",""
"554.287541014291","91",""
"559.734981680633","89",""
"565.0573134295","90",""
"570.309628458366","89",""
"575.770623081984","87",""
"581.086770245939","89",""
"586.512996204825","86",""
"591.906927556435","93",""
"597.440683662309","88",""
