"Vertical Axis: % of users","Horizontal Axis: User Wait Time              (time values are fractions of a day)"
"1","0","<100ms"
"2","0","<200ms"
"3","0","<500ms"
"4","0","<1s"
"5","0","<2s"
"6","0","<5s"
"7","0","<10s"
"8","0","<20s"
"9","0","<50s"
"10","0","<100s"
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","100",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","96.2962962962963",""
"4","3.7037037037037",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","83.3333333333333",""
"4","16.6666666666667",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","87.5",""
"4","12.5",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","91.1764705882353",""
"4","8.82352941176471",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","75.7142857142857",""
"4","24.2857142857143",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","69.5652173913043",""
"4","30.4347826086957",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","72.3684210526316",""
"4","27.6315789473684",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","56.1643835616438",""
"4","43.8356164383562",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","39.7435897435897",""
"4","60.2564102564103",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","18.4210526315789",""
"4","78.9473684210526",""
"5","2.63157894736842",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","8.75",""
"4","85",""
"5","6.25",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","10.3896103896104",""
"4","77.9220779220779",""
"5","11.6883116883117",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","87.012987012987",""
"5","12.987012987013",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","83.5443037974684",""
"5","16.4556962025316",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","62.1951219512195",""
"5","37.8048780487805",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","55.2631578947368",""
"5","44.7368421052632",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","30",""
"5","70",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","17.9487179487179",""
"5","82.0512820512821",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","6.09756097560976",""
"5","90.2439024390244",""
"6","3.65853658536585",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","2.5974025974026",""
"5","94.8051948051948",""
"6","2.5974025974026",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","1.35135135135135",""
"5","90.5405405405405",""
"6","8.10810810810811",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","93.5064935064935",""
"6","6.49350649350649",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","89.2857142857143",""
"6","10.7142857142857",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","92.3076923076923",""
"6","7.69230769230769",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","96.0526315789474",""
"6","3.94736842105263",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","86.4197530864197",""
"6","13.5802469135802",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","77.7777777777778",""
"6","22.2222222222222",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","75",""
"6","25",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","63.75",""
"6","36.25",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","58.2278481012658",""
"6","41.7721518987342",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","49.4117647058824",""
"6","50.5882352941176",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","51.8987341772152",""
"6","48.1012658227848",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","50.6024096385542",""
"6","48.1927710843374",""
"7","1.20481927710843",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","50.6172839506173",""
"6","48.1481481481481",""
"7","1.23456790123457",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","53.6585365853659",""
"6","46.3414634146341",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","53.0864197530864",""
"6","43.2098765432099",""
"7","2.46913580246914",""
"8","1.23456790123457",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","41.9753086419753",""
"6","53.0864197530864",""
"7","4.93827160493827",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","51.2820512820513",""
"6","38.4615384615385",""
"7","10.2564102564103",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","46.1538461538462",""
"6","43.5897435897436",""
"7","10.2564102564103",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","44.578313253012",""
"6","44.578313253012",""
"7","9.63855421686747",""
"8","1.20481927710843",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","43.0232558139535",""
"6","47.6744186046512",""
"7","9.30232558139535",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","34.1463414634146",""
"6","62.1951219512195",""
"7","2.4390243902439",""
"8","1.21951219512195",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","19.7530864197531",""
"6","67.9012345679012",""
"7","12.3456790123457",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","16.25",""
"6","73.75",""
"7","8.75",""
"8","1.25",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","12.6582278481013",""
"6","77.2151898734177",""
"7","7.59493670886076",""
"8","2.53164556962025",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","12.3595505617978",""
"6","78.6516853932584",""
"7","8.98876404494382",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","5.12820512820513",""
"6","84.6153846153846",""
"7","10.2564102564103",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","2.46913580246914",""
"6","91.358024691358",""
"7","6.17283950617284",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","1.23456790123457",""
"6","86.4197530864197",""
"7","11.1111111111111",""
"8","1.23456790123457",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","92.5925925925926",""
"7","7.40740740740741",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","1.21951219512195",""
"6","87.8048780487805",""
"7","9.75609756097561",""
"8","1.21951219512195",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","90.3614457831325",""
"7","9.63855421686747",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","87.3417721518987",""
"7","12.6582278481013",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","85.7142857142857",""
"7","13.0952380952381",""
"8","1.19047619047619",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","87.0588235294118",""
"7","12.9411764705882",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","84.7058823529412",""
"7","15.2941176470588",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","83.5294117647059",""
"7","16.4705882352941",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","87.2093023255814",""
"7","12.7906976744186",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","81.7073170731707",""
"7","18.2926829268293",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","81.1764705882353",""
"7","18.8235294117647",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","79.5180722891566",""
"7","19.2771084337349",""
"8","1.20481927710843",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","80.9523809523809",""
"7","19.047619047619",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","75.9036144578313",""
"7","24.0963855421687",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","75.3086419753086",""
"7","23.4567901234568",""
"8","1.23456790123457",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","75.609756097561",""
"7","24.390243902439",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","75.3086419753086",""
"7","20.9876543209877",""
"8","3.7037037037037",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","75.5813953488372",""
"7","24.4186046511628",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","66.25",""
"7","33.75",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","74.6987951807229",""
"7","25.3012048192771",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","76.25",""
"7","23.75",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","67.816091954023",""
"7","28.735632183908",""
"8","3.44827586206897",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","63.0952380952381",""
"7","36.9047619047619",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","56.25",""
"7","41.25",""
"8","2.5",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","59.2592592592593",""
"7","40.7407407407407",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","65.8823529411765",""
"7","30.5882352941176",""
"8","3.52941176470588",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","58.0246913580247",""
"7","39.5061728395062",""
"8","2.46913580246914",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","61.6279069767442",""
"7","34.8837209302326",""
"8","3.48837209302326",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","52.5",""
"7","45",""
"8","2.5",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","54.320987654321",""
"7","41.9753086419753",""
"8","3.7037037037037",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","52.5",""
"7","43.75",""
"8","3.75",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","51.1627906976744",""
"7","46.5116279069767",""
"8","2.32558139534884",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","55.5555555555556",""
"7","44.4444444444444",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","0",""
"6","48.1927710843374",""
"7","50.6024096385542",""
"8","1.20481927710843",""
"9","0",""
"10","0",""
"1","0",""
