"Vertical Axis: Available System Memory [MB]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.80185861610903","692",""
"10.8831122391254","691",""
"15.9982721267647","692",""
"21.1294474577076","690",""
"26.255948451549","687",""
"31.3797789942576","684",""
"36.5998097523568","684",""
"41.7314125119254","685",""
"46.8471118536015","684",""
"52.0650267003208","683",""
"57.1963378027096","683",""
"62.3337608550807","682",""
"67.5250586317535","682",""
"72.7488471300123","680",""
"77.9897808240992","680",""
"83.2571508390033","679",""
"88.4649414939608","679",""
"93.695617459761","680",""
"99.0254046254482","678",""
"104.17315664421","678",""
"109.624481603109","676",""
"114.935130861604","675",""
"120.257232134252","675",""
"125.603660800465","673",""
"130.913787646195","673",""
"136.21372017952","672",""
"141.610470045774","669",""
"146.914120928777","670",""
"152.297088317091","667",""
"157.593560354738","665",""
"162.973650003003","664",""
"168.228028143242","662",""
"173.558590267757","660",""
"178.770827018518","658",""
"184.148386736303","657",""
"189.381722257996","656",""
"194.678189546437","655",""
"200.015128738429","654",""
"205.428142682939","654",""
"210.66869867539","651",""
"216.062400947606","651",""
"221.37708367963","650",""
"226.741562684643","647",""
"231.986299655403","647",""
"237.457182407261","646",""
"242.73158208655","646",""
"248.08347513441","644",""
"253.478765038573","643",""
"258.732759610509","642",""
"264.077795082895","642",""
"269.300269727018","641",""
"274.743537237275","640",""
"280.17215763456","641",""
"285.496002704254","642",""
"290.770983462982","640",""
"296.106433918277","640",""
"301.405271060987","640",""
"306.930982010283","638",""
"312.21694321485","637",""
"317.573215310885","637",""
"322.867337887916","637",""
"328.134750645683","636",""
"333.389220976409","635",""
"338.845024437463","635",""
"344.165595627377","633",""
"349.515765271843","633",""
"355.044560970738","633",""
"360.567349202203","632",""
"365.905030667305","633",""
"371.474857279347","630",""
"376.984584632963","630",""
"382.470086561281","629",""
"387.839362544681","628",""
"393.256913378656","628",""
"398.636127217286","627",""
"403.972366599666","627",""
"409.284287807529","627",""
"414.610622020396","627",""
"419.997634336208","626",""
"425.344390418335","625",""
"430.689871478079","624",""
"436.030208587963","624",""
"441.463447728692","624",""
"446.862077722169","624",""
"452.272577380645","622",""
"457.696335986836","622",""
"463.096708939265","623",""
"468.328150644845","622",""
"473.893105408648","622",""
"479.268095526107","621",""
"484.60201980978","621",""
"489.938863179538","621",""
"495.281819337374","621",""
"500.671714980535","621",""
"506.05924635673","620",""
"511.388309128674","619",""
"516.722328396486","618",""
"521.990965332186","619",""
"527.23088297535","618",""
"532.61532652893","618",""
"537.927224270124","618",""
"543.321736421808","617",""
"548.826008612827","616",""
"554.287547998419","616",""
"559.734988664761","615",""
"565.057320134263","616",""
"570.309635163128","616",""
"575.770630066112","616",""
"581.086776671337","615",""
"586.513003188953","615",""
"591.906934261198","614",""
"597.440690367072","613",""
