"Vertical Axis: Click Time [ms]","Horizontal Axis: Active Users (time values are fractions of a day)"
"0","0","0"
"5.4850002983585","0","2"
"10.5780003592372","0","3"
"15.6719999620691","0","4"
"20.7810002379119","0","5"
"25.9220003150404","0","6"
"31.0470001772046","0","7"
"36.1720000393689","0","8"
"41.3130001164973","0","9"
"46.4530000230297","0","10"
"51.5940001001582","0","11"
"56.7500002216548","0","12"
"61.8910002987832","0","13"
"67.0310002053156","0","14"
"72.1720002824441","0","15"
"77.3130003595725","0","17"
"82.4530002661049","0","18"
"87.5940003432333","0","19"
"92.7810000954196","0","20"
"97.9380003875121","0","21"
"103.188000200316","0","22"
"108.391000167467","0","23"
"113.531000073999","0","24"
"118.702999781817","0","25"
"123.90600037761","0","26"
"129.06300004106","0","27"
"134.235000377521","0","28"
"139.405999914743","0","29"
"144.563000206836","0","31"
"149.828000064008","0","32"
"155.094000091776","0","33"
"160.297000058927","0","34"
"165.453000180423","0","35"
"170.734999794513","0","36"
"175.905999960378","0","37"
"181.203000247478","0","38"
"186.438000015914","0","39"
"191.577999922447","0","40"
"196.860000165179","0","41"
"202.06300013233","0","43"
"207.39100005012","0","44"
"212.655999907292","0","45"
"217.906000348739","0","46"
"223.219000222161","0","47"
"228.452999820001","0","48"
"233.84399979841","0","49"
"239.172000344843","0","50"
"244.438000372611","0","51"
"249.796999921091","0","52"
"255.141000053845","0","54"
"260.500000230968","0","55"
"265.921999840066","0","56"
"271.250000386499","0","57"
"276.530999829993","0","58"
"281.796999857761","0","59"
"287.187999836169","0","60"
"292.468999908306","0","61"
"297.766000195406","0","62"
"303.110000328161","0","64"
"308.516000350937","0","65"
"313.859999855049","0","66"
"319.250000291504","0","67"
"324.468999844976","0","68"
"329.874999867752","0","69"
"335.26599984616","0","70"
"340.609999978915","0","71"
"345.952999941073","0","73"
"351.280999858864","0","74"
"356.531000300311","0","75"
"361.797000328079","0","76"
"367.093999986537","0","77"
"372.453000163659","0","78"
"377.78100008145","0","79"
"383.063000324182","0","80"
"388.453000131994","0","81"
"393.766000005417","0","82"
"399.063000292517","0","84"
"404.406000254676","0","85"
"409.672000282444","0","86"
"415.015999786556","0","87"
"420.421999809332","0","88"
"425.780999986455","0","89"
"431.093999859877","0","90"
"436.374999932013","0","91"
"441.62500037346","0","92"
"446.953000291251","0","94"
"452.328000054695","0","95"
"457.687999773771","0","96"
"462.985000060871","0","97"
"468.344000237994","0","98"
"473.688000370748","0","99"
"479.000000073574","0","100"
"484.312999946997","0","100"
"489.672000124119","0","100"
"495.00000004191","0","100"
"500.360000389628","0","100"
"505.735000153072","0","100"
"511.094000330195","0","100"
"516.437999834307","0","100"
"521.780999796465","0","100"
"527.109999884851","0","100"
"532.500000321306","0","100"
"537.813000194728","0","100"
"543.031000206247","0","100"
"548.405999969691","0","100"
"553.781000361778","0","100"
"559.202999970876","0","100"
"564.54700010363","0","100"
"569.87500002142","0","100"
"575.202999939211","0","100"
"580.547000071965","0","100"
"585.89100020472","0","100"
"591.297000227496","0","100"
"596.625000145286","0","100"
