"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Active Users (time values are fractions of a day)"
"0","1","0"
"5.4850002983585","1","2"
"10.5780003592372","1","3"
"15.6719999620691","1","4"
"20.7810002379119","1","5"
"25.9220003150404","1","6"
"31.0470001772046","1","7"
"36.1720000393689","1","8"
"41.3130001164973","1","9"
"46.4530000230297","1","10"
"51.5940001001582","1","11"
"56.7500002216548","1","12"
"61.8910002987832","1","13"
"67.0310002053156","1","14"
"72.1720002824441","1","15"
"77.3130003595725","1","17"
"82.4530002661049","1","18"
"87.5940003432333","1","19"
"92.7810000954196","1","20"
"97.9380003875121","1","21"
"103.188000200316","1","22"
"108.391000167467","1","23"
"113.531000073999","1","24"
"118.702999781817","1","25"
"123.90600037761","1","26"
"129.06300004106","1","27"
"134.235000377521","1","28"
"139.405999914743","1","29"
"144.563000206836","1","31"
"149.828000064008","1","32"
"155.094000091776","1","33"
"160.297000058927","1","34"
"165.453000180423","1","35"
"170.734999794513","1","36"
"175.905999960378","1","37"
"181.203000247478","1","38"
"186.438000015914","1","39"
"191.577999922447","1","40"
"196.860000165179","1","41"
"202.06300013233","1","43"
"207.39100005012","1","44"
"212.655999907292","1","45"
"217.906000348739","1","46"
"223.219000222161","1","47"
"228.452999820001","1","48"
"233.84399979841","1","49"
"239.172000344843","1","50"
"244.438000372611","1","51"
"249.796999921091","1","52"
"255.141000053845","1","54"
"260.500000230968","1","55"
"265.921999840066","1","56"
"271.250000386499","1","57"
"276.530999829993","1","58"
"281.796999857761","1","59"
"287.187999836169","1","60"
"292.468999908306","1","61"
"297.766000195406","1","62"
"303.110000328161","1","64"
"308.516000350937","1","65"
"313.859999855049","1","66"
"319.250000291504","1","67"
"324.468999844976","1","68"
"329.874999867752","1","69"
"335.26599984616","1","70"
"340.609999978915","1","71"
"345.952999941073","1","73"
"351.280999858864","1","74"
"356.531000300311","1","75"
"361.797000328079","1","76"
"367.093999986537","1","77"
"372.453000163659","1","78"
"377.78100008145","1","79"
"383.063000324182","1","80"
"388.453000131994","1","81"
"393.766000005417","1","82"
"399.063000292517","1","84"
"404.406000254676","1","85"
"409.672000282444","1","86"
"415.015999786556","1","87"
"420.421999809332","1","88"
"425.780999986455","1","89"
"431.093999859877","1","90"
"436.374999932013","1","91"
"441.62500037346","1","92"
"446.953000291251","1","94"
"452.328000054695","1","95"
"457.687999773771","1","96"
"462.985000060871","1","97"
"468.344000237994","1","98"
"473.688000370748","1","99"
"479.000000073574","1","100"
"484.312999946997","1","100"
"489.672000124119","1","100"
"495.00000004191","1","100"
"500.360000389628","1","100"
"505.735000153072","1","100"
"511.094000330195","1","100"
"516.437999834307","1","100"
"521.780999796465","1","100"
"527.109999884851","1","100"
"532.500000321306","1","100"
"537.813000194728","1","100"
"543.031000206247","1","100"
"548.405999969691","1","100"
"553.781000361778","1","100"
"559.202999970876","1","100"
"564.54700010363","1","100"
"569.87500002142","1","100"
"575.202999939211","1","100"
"580.547000071965","1","100"
"585.89100020472","1","100"
"591.297000227496","1","100"
"596.625000145286","1","100"
