"Vertical Axis: Request Hierarchy","Horizontal Axis: Active Users (time values are fractions of a day)"
"1741.48250685492","0","1"
"5272.99391403097","0","2"
"10109.0082678106","0","3"
"14694.3497008698","0","4"
"19561.4786236798","0","5"
"24211.9336396106","0","6"
"29090.2564432072","0","7"
"33881.4606325664","0","8"
"38539.8758780795","0","9"
"43537.2462142535","0","10"
"48083.4114391634","0","11"
"53018.6445483993","0","12"
"57970.6230819839","0","13"
"62680.2638324145","0","14"
"67415.2326622518","0","15"
"72456.2320071406","0","16"
"76823.3987839237","0","17"
"81861.2253792032","0","18"
"86585.5487219744","0","19"
"91320.133704144","0","20"
"96219.3326246772","0","21"
"100994.875885064","0","22"
"106209.773029812","0","23"
"110559.19229958","0","24"
"115430.007724445","0","25"
"120302.601308267","0","26"
"125100.016622224","0","27"
"129676.803616102","0","28"
"134956.924134213","0","29"
"139528.44258139","0","30"
"144138.934138277","0","31"
"149172.110980586","0","32"
"153953.367816301","0","33"
"158801.654679575","0","34"
"163529.529311686","0","35"
"168190.930690912","0","36"
"172970.573354993","0","37"
"177648.209758503","0","38"
"182641.632386239","0","39"
"187296.070869342","0","40"
"192044.608742173","0","41"
"196978.874968746","0","42"
"201839.657833607","0","43"
"206663.362242967","0","44"
"211455.703448343","0","45"
"216158.460083614","0","46"
"220947.154736147","0","47"
"225674.691895199","0","48"
"230550.620260396","0","49"
"235357.73345495","0","50"
"240080.76333724","0","51"
"244940.002151111","0","52"
"250092.622945095","0","53"
"254654.432057706","0","54"
"259257.008362795","0","55"
"264204.431289452","0","56"
"268954.011473525","0","57"
"273700.239834951","0","58"
"278657.267613621","0","59"
