"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"437.229871394269","0","CLICK User:1 Request:1"
"2799.65330789248","0","CLICK User:1 Request:2"
"4050.65140960653","0","CLICK User:1 Request:3"
"5075.94540646926","0","CLICK User:2 Request:1"
"5288.97778907654","0","CLICK User:1 Request:4"
"6330.97502615556","0","CLICK User:2 Request:2"
"6540.84834804423","0","CLICK User:1 Request:5"
"7588.78516682986","0","CLICK User:2 Request:3"
"7798.59227918632","0","CLICK User:1 Request:6"
"8844.685288214","0","CLICK User:2 Request:4"
"9047.7085774868","0","CLICK User:1 Request:7"
"9912.32656664464","0","CLICK User:3 Request:1"
"10093.8985262093","0","CLICK User:2 Request:5"
"10295.8018407367","0","CLICK User:1 Request:8"
"11170.0830692169","0","CLICK User:3 Request:2"
"11346.017161399","0","CLICK User:2 Request:6"
"11547.0379615286","0","CLICK User:1 Request:9"
"12420.1656914496","0","CLICK User:3 Request:3"
"12594.0796944863","0","CLICK User:2 Request:7"
"12792.0562529595","0","CLICK User:1 Request:10"
"13674.025330035","0","CLICK User:3 Request:4"
"13848.0281711782","0","CLICK User:2 Request:8"
"14043.1267102383","0","CLICK User:1 Request:11"
"14504.4685846944","0","CLICK User:4 Request:1"
"14925.9897556812","0","CLICK User:3 Request:5"
"15094.1566595754","0","CLICK User:2 Request:9"
"15291.4152497035","0","CLICK User:1 Request:12"
"15752.2964510853","0","CLICK User:4 Request:2"
"16175.1317555723","0","CLICK User:3 Request:6"
"16375.3558063944","0","CLICK User:2 Request:10"
"16537.6797889117","0","CLICK User:1 Request:13"
"16994.4822596168","0","CLICK User:4 Request:3"
"17424.2251459334","0","CLICK User:3 Request:7"
"17627.3316860104","0","CLICK User:2 Request:11"
"17785.6559981785","0","CLICK User:1 Request:14"
"18248.5609204522","0","CLICK User:4 Request:4"
"18673.3168601037","0","CLICK User:3 Request:8"
"18877.6333304931","0","CLICK User:2 Request:12"
"19023.9756728858","0","CLICK User:1 Request:15"
"19368.8278817559","0","CLICK User:5 Request:1"
"19499.6252316984","0","CLICK User:4 Request:5"
"19923.3821616993","0","CLICK User:3 Request:9"
"20133.3012994668","0","CLICK User:2 Request:13"
"20275.98367949","0","CLICK User:1 Request:16"
"20621.6239773491","0","CLICK User:5 Request:2"
"20748.6652633226","0","CLICK User:4 Request:6"
"21174.4042888132","0","CLICK User:3 Request:10"
"21384.3711980154","0","CLICK User:2 Request:14"
"21523.3494759809","0","CLICK User:1 Request:17"
"21884.7892679097","0","CLICK User:5 Request:3"
"22000.6746667523","0","CLICK User:4 Request:7"
"22425.4046254482","0","CLICK User:3 Request:11"
"22639.9064685596","0","CLICK User:2 Request:15"
"22776.0927715673","0","CLICK User:1 Request:18"
"23145.8629518556","0","CLICK User:5 Request:4"
"23263.5175699705","0","CLICK User:4 Request:8"
"23673.5414696561","0","CLICK User:3 Request:12"
"23892.1351736045","0","CLICK User:2 Request:16"
"24027.1076351883","0","CLICK User:1 Request:19"
"24257.6310676357","0","CLICK User:6 Request:1"
"24403.7068957088","0","CLICK User:5 Request:5"
"24513.4518493272","0","CLICK User:4 Request:9"
"24923.5008918731","0","CLICK User:3 Request:13"
"25141.2648814305","0","CLICK User:2 Request:17"
"25274.1437808437","0","CLICK User:1 Request:20"
"25501.6981208506","0","CLICK User:6 Request:2"
"25663.849735092","0","CLICK User:5 Request:6"
"25766.3960084312","0","CLICK User:4 Request:10"
"26178.3545115371","0","CLICK User:3 Request:14"
"26400.0905142972","0","CLICK User:2 Request:18"
"26472.5801742959","0","CLICK User:1 Request:21"
"26757.7658613036","0","CLICK User:6 Request:3"
"26917.9982372061","0","CLICK User:5 Request:7"
"27021.8055646737","0","CLICK User:4 Request:11"
"27430.7798896228","0","CLICK User:3 Request:15"
"27653.1701654819","0","CLICK User:2 Request:19"
"27726.5976541711","0","CLICK User:1 Request:22"
"28011.6023125844","0","CLICK User:6 Request:4"
"28168.9122500206","0","CLICK User:5 Request:8"
"28270.7282629496","0","CLICK User:4 Request:12"
"28681.525165908","0","CLICK User:3 Request:16"
"28903.2449654914","0","CLICK User:2 Request:20"
"28978.5478321965","0","CLICK User:1 Request:23"
"29126.0028858416","0","CLICK User:7 Request:1"
"29264.6431320182","0","CLICK User:6 Request:5"
"29419.976840632","0","CLICK User:5 Request:9"
"29521.4645995511","0","CLICK User:4 Request:13"
"29935.5770076923","0","CLICK User:3 Request:17"
"30148.3613140776","0","CLICK User:2 Request:21"
"30224.6813491659","0","CLICK User:1 Request:24"
"30376.1070191882","0","CLICK User:7 Request:2"
"30512.7634936843","0","CLICK User:6 Request:6"
"30667.1808847214","0","CLICK User:5 Request:10"
"30852.5689717548","0","CLICK User:4 Request:14"
"31186.6631094175","0","CLICK User:3 Request:18"
"31401.4532573274","0","CLICK User:2 Request:22"
"31475.6816858008","0","CLICK User:1 Request:25"
"31622.4405615798","0","CLICK User:7 Request:3"
"31765.7431321579","0","CLICK User:6 Request:7"
"31915.1987193903","0","CLICK User:5 Request:11"
"32102.2602034616","0","CLICK User:4 Request:15"
"32431.8794707149","0","CLICK User:3 Request:19"
"32653.3687940786","0","CLICK User:2 Request:23"
"32723.9615649475","0","CLICK User:1 Request:26"
"32868.4262944033","0","CLICK User:7 Request:4"
"33013.8104144521","0","CLICK User:6 Request:8"
"33167.4939133326","0","CLICK User:5 Request:12"
"33355.4177975134","0","CLICK User:4 Request:16"
"33682.7778390829","0","CLICK User:3 Request:20"
"33741.5953703613","0","CLICK User:8 Request:1"
"33905.4497149777","0","CLICK User:2 Request:24"
"33982.7668041609","0","CLICK User:1 Request:27"
"34116.5036338417","0","CLICK User:7 Request:5"
"34258.9549789149","0","CLICK User:6 Request:9"
"34410.3096901981","0","CLICK User:5 Request:13"
"34604.6067307437","0","CLICK User:4 Request:17"
"34941.5548624197","0","CLICK User:3 Request:21"
"34998.3148696273","0","CLICK User:8 Request:2"
"35153.5390671161","0","CLICK User:2 Request:25"
"35231.6766516415","0","CLICK User:1 Request:28"
"35360.447487041","0","CLICK User:7 Request:6"
"35510.0058806357","0","CLICK User:6 Request:10"
"35658.4437407548","0","CLICK User:5 Request:14"
