"Vertical Axis: Bandwidth [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.51530459876884","12.9962785808165",""
"10.6122465285392","32.1847401628532",""
"15.7279779972036","41.8144246038073",""
"20.861489937967","54.5411996879385",""
"25.987690893675","73.4154770220687",""
"31.1075748454063","86.4141932068506",""
"36.2424056688769","95.9049173800257",""
"41.39124246238","108.594191622865",""
"46.5329079533851","127.649501998854",""
"51.6805166578434","137.119060889878",""
"56.8319213754821","155.815463598996",""
"61.9824715152345","165.679992913934",""
"67.0988173077863","185.127836260165",""
"72.2396067097913","191.482944684353",""
"77.3820485564506","207.354366079133",""
"82.5218710757932","220.251149550568",""
"87.6782440226342","207.197377291945",""
"92.8625367190523","246.332172510215",""
"98.0880779540417","232.456319371193",""
"103.276242930317","274.952668004564",""
"108.461387690335","292.792267741105",""
"113.636414125259","271.275350623265",""
"118.837080411058","282.01993651196",""
"124.002029866924","309.045111425663",""
"129.155023054606","324.253743137068",""
"134.318960370662","310.984535112816",""
"139.484219921806","316.842350354566",""
"144.755629276905","283.122625706119",""
"150.027710225741","267.760701260084",""
"155.216463824313","326.99297461084",""
"160.384714817107","337.512128197947",""
"165.630901134083","270.276216702792",""
"170.823430352182","372.893113507851",""
"176.083087096265","351.848676861392",""
"181.340651395638","337.339661225038",""
"186.510680268023","404.466028505432",""
"191.759115753539","344.099072639042",""
"196.965295868609","429.699029934191",""
"202.261625709413","378.215147193994",""
"207.587318220612","414.853948882344",""
"212.809482769458","423.38760840607",""
"218.124064650675","400.431354693706",""
"223.377811705119","425.913751325259",""
"228.733578709026","440.937795644457",""
"234.046907637703","450.876315384558",""
"239.306766921494","436.361056909429",""
"244.663896947796","436.63317350189",""
"250.046652018622","452.235339285879",""
"255.40298054641","430.132065667056",""
"260.807484191427","446.759314007299",""
"266.126482276379","442.237771808255",""
"271.391745040222","467.768259147404",""
"276.703055276578","440.765493702311",""
"282.07258967271","460.15392451413",""
"287.358558978865","454.201524162606",""
"292.67611861284","456.049238348996",""
"297.99241020856","442.736734588398",""
"303.398588926805","454.270921572797",""
"308.747662621925","445.226388648479",""
"314.12211775519","458.242128843558",""
"319.368491526158","453.452352173197",""
"324.71936991992","435.975716694592",""
"330.115293703529","455.099409439815",""
"335.475561000071","456.401961552623",""
"340.845683739134","448.313178165632",""
"346.183491197904","456.722067599541",""
"351.429887318081","437.025945026875",""
"356.695470513711","447.400224980559",""
"361.978617673475","466.948350065726",""
"367.344109656395","455.206637572773",""
"372.679707337106","438.045858067749",""
"377.945481059744","458.016768999422",""
"383.328511863938","449.665095526967",""
"388.662328312677","414.653343787851",""
"393.954275752924","431.504090282705",""
"399.304631733921","452.804123283249",""
"404.577070270104","444.464530436013",""
"409.912747290508","435.872245103127",""
"415.26555917023","444.560004746342",""
"420.638893770018","452.150263480209",""
"426.01130059826","447.586874710429",""
"431.279878029191","434.329629903068",""
"436.531574823057","441.639237657174",""
"441.851940679612","433.998287926055",""
"447.218091126107","442.864133764302",""
"452.57864141951","445.562570521896",""
"457.85489273078","444.622608754881",""
"463.231788956418","445.64855266355",""
"468.586251604603","451.981609168614",""
"473.871150104273","430.431113249309",""
"479.195700012152","450.779659776077",""
"484.56507852255","447.324568940465",""
"489.882392315224","446.784069981968",""
"495.239044347815","424.134958163064",""
"500.61373275095","455.921808805773",""
"505.986012468065","457.756771170446",""
"511.315636484525","447.5599496611",""
"516.681988911999","428.940422129715",""
"521.983001470857","445.656073194719",""
"527.386553039562","452.140733688847",""
"532.712649233352","456.613800182476",""
"537.927816524167","441.271542080692",""
"543.3003211302","443.544511832244",""
"548.661496084","444.354182351862",""
"554.087385966652","452.094970278079",""
"559.440865528999","456.679690264691",""
"564.74993609523","435.299988083622",""
"570.079532733909","450.340437715227",""
"575.42238049808","446.493223809544",""
"580.744344323091","445.063192623926",""
"586.173462549011","453.210533393551",""
"591.524605222172","428.392098221508",""
"596.886222690314","452.506323136136",""
