"Vertical Axis: Open Requests","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.51553842736996","1",""
"10.6126007635049","2",""
"15.7281995337396","2",""
"20.8617614808586","2",""
"25.9879160619576","2",""
"31.1077600644775","2",""
"36.2427017958986","2",""
"41.3915193132088","3",""
"46.5332063153278","3",""
"51.681420683355","4",""
"56.8321809056738","4",""
"61.9828908422718","5",""
"67.0991176252848","6",""
"72.2398810463341","8",""
"77.3823212168027","9",""
"82.522048193276","11",""
"87.6814505754223","13",""
"92.8627758555906","12",""
"98.0946530913845","13",""
"103.276475641457","10",""
"108.461600007822","11",""
"113.636824233248","11",""
"118.837355026966","16",""
"124.003286171846","16",""
"129.155294038767","15",""
"134.319436967548","20",""
"139.484464925011","21",""
"144.756076261089","27",""
"150.02830443534","27",""
"155.225620574682","29",""
"160.384899756813","29",""
"165.631406505575","31",""
"170.824166199894","28",""
"176.083927705896","32",""
"181.340938582976","29",""
"186.510853753759","32",""
"191.762775157178","33",""
"196.965642840082","30",""
"202.26736107522","31",""
"207.58787415719","35",""
"212.811041068069","34",""
"218.132754861302","27",""
"223.378031286099","36",""
"228.760655614052","32",""
"234.064698166946","31",""
"239.309037042417","33",""
"244.677629978112","33",""
"250.050515358796","29",""
"255.410834896614","35",""
"260.815672662308","33",""
"266.130562124516","34",""
"271.392735110189","31",""
"276.708221016917","33",""
"282.089594347885","35",""
"287.36184459198","34",""
"292.681917673894","35",""
"297.996589231313","40",""
"303.404445816438","37",""
"308.753003244826","40",""
"314.126452384311","41",""
"319.36913015481","42",""
"324.725860688998","46",""
"330.118141830875","44",""
"335.482349572362","45",""
"340.853466013139","50",""
"346.191988087871","46",""
"351.431083280138","47",""
"356.69909276179","52",""
"361.980158930814","49",""
"367.351151054114","51",""
"372.684601813918","55",""
"377.946053758229","53",""
"383.341482506855","54",""
"388.664027411305","62",""
"393.957212718376","59",""
"399.308612686808","57",""
"404.579599921219","60",""
"409.913227798505","64",""
"415.271170218561","61",""
"420.649752412667","62",""
"426.013115912777","64",""
"431.283989724951","70",""
"436.532082988201","65",""
"441.853833378265","68",""
"447.225131965096","67",""
"452.583428340753","73",""
"457.86412546846","70",""
"463.234546848831","71",""
"468.594605459632","72",""
"473.871618599571","76",""
"479.201621714492","74",""
"484.566585976709","74",""
"489.883441889961","75",""
"495.252507232064","81",""
"500.616105119505","76",""
"505.992597103822","75",""
"511.321123215381","75",""
"516.683520391558","78",""
"521.98777693813","75",""
"527.39108406236","74",""
"532.725411749259","75",""
"537.928441463929","75",""
"543.303103048013","80",""
"548.664987589205","74",""
"554.098837142709","74",""
"559.444686964405","74",""
"564.762746382571","80",""
"570.081387718271","75",""
"575.432140118367","76",""
"580.746550469403","75",""
"586.175941355675","75",""
"591.532843140678","81",""
"596.897200901232","74",""
