"Vertical Axis: Server Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.4850002983585","12.9962785808165",""
"10.5780003592372","32.1847401628532",""
"15.6719999620691","41.8144246038073",""
"20.7810002379119","54.5411996879385",""
"25.9220003150404","73.4154770220687",""
"31.0470001772046","86.4141932068506",""
"36.1720000393689","95.9049173800257",""
"41.3130001164973","108.594191622865",""
"46.4530000230297","127.649501998854",""
"51.5940001001582","137.119060889878",""
"56.7500002216548","155.815463598996",""
"61.8910002987832","165.679992913934",""
"67.0310002053156","185.127836260165",""
"72.1720002824441","191.482944684353",""
"77.3130003595725","207.354366079133",""
"82.4530002661049","220.251149550568",""
"87.5940003432333","207.197377291945",""
"92.7810000954196","246.332172510215",""
"97.9380003875121","232.456319371193",""
"103.188000200316","274.952668004564",""
"108.391000167467","292.792267741105",""
"113.531000073999","271.275350623265",""
"118.702999781817","282.01993651196",""
"123.90600037761","309.045111425663",""
"129.06300004106","324.253743137068",""
"134.235000377521","310.984535112816",""
"139.405999914743","316.842350354566",""
"144.563000206836","283.122625706119",""
"149.828000064008","267.760701260084",""
"155.094000091776","326.99297461084",""
"160.297000058927","337.512128197947",""
"165.453000180423","270.276216702792",""
"170.734999794513","372.893113507851",""
"175.905999960378","351.848676861392",""
"181.203000247478","337.339661225038",""
"186.438000015914","404.466028505432",""
"191.577999922447","344.099072639042",""
"196.860000165179","429.699029934191",""
"202.06300013233","378.215147193994",""
"207.39100005012","414.853948882344",""
"212.655999907292","423.38760840607",""
"217.906000348739","400.431354693706",""
"223.219000222161","425.913751325259",""
"228.452999820001","440.937795644457",""
"233.84399979841","450.876315384558",""
"239.172000344843","436.361056909429",""
"244.438000372611","436.63317350189",""
"249.796999921091","452.235339285879",""
"255.141000053845","430.132065667056",""
"260.500000230968","446.759314007299",""
"265.921999840066","442.237771808255",""
"271.250000386499","467.768259147404",""
"276.530999829993","440.765493702311",""
"281.796999857761","460.15392451413",""
"287.187999836169","454.201524162606",""
"292.468999908306","456.049238348996",""
"297.766000195406","442.736734588398",""
"303.110000328161","454.270921572797",""
"308.516000350937","445.226388648479",""
"313.859999855049","458.242128843558",""
"319.250000291504","453.452352173197",""
"324.468999844976","435.975716694592",""
"329.874999867752","455.099409439815",""
"335.26599984616","456.401961552623",""
"340.609999978915","448.313178165632",""
"345.952999941073","456.722067599541",""
"351.280999858864","437.025945026875",""
"356.531000300311","447.400224980559",""
"361.797000328079","466.948350065726",""
"367.093999986537","455.206637572773",""
"372.453000163659","438.045858067749",""
"377.78100008145","458.016768999422",""
"383.063000324182","449.665095526967",""
"388.453000131994","414.653343787851",""
"393.766000005417","431.504090282705",""
"399.063000292517","452.804123283249",""
"404.406000254676","444.464530436013",""
"409.672000282444","435.872245103127",""
"415.015999786556","444.560004746342",""
"420.421999809332","452.150263480209",""
"425.780999986455","447.586874710429",""
"431.093999859877","434.329629903068",""
"436.374999932013","441.639237657174",""
"441.62500037346","433.998287926055",""
"446.953000291251","442.864133764302",""
"452.328000054695","445.562570521896",""
"457.687999773771","444.622608754881",""
"462.985000060871","445.64855266355",""
"468.344000237994","451.981609168614",""
"473.688000370748","430.431113249309",""
"479.000000073574","450.779659776077",""
"484.312999946997","447.324568940465",""
"489.672000124119","446.784069981968",""
"495.00000004191","424.134958163064",""
"500.360000389628","455.921808805773",""
"505.735000153072","457.756771170446",""
"511.094000330195","447.5599496611",""
"516.437999834307","428.940422129715",""
"521.780999796465","445.656073194719",""
"527.109999884851","452.140733688847",""
"532.500000321306","456.613800182476",""
"537.813000194728","441.271542080692",""
"543.031000206247","443.544511832244",""
"548.405999969691","444.354182351862",""
"553.781000361778","452.094970278079",""
"559.202999970876","456.679690264691",""
"564.54700010363","435.299988083622",""
"569.87500002142","450.340437715227",""
"575.202999939211","446.493223809544",""
"580.547000071965","445.063192623926",""
"585.89100020472","453.210533393551",""
"591.297000227496","428.392098221508",""
"596.625000145286","452.506323136136",""
