"Vertical Axis: % of users","Horizontal Axis: User Wait Time              (time values are fractions of a day)"
"1","0","<100ms"
"2","0","<200ms"
"3","0","<500ms"
"4","0","<1s"
"5","0","<2s"
"6","0","<5s"
"7","0","<10s"
"8","0","<20s"
"9","0","<50s"
"10","0","<100s"
"1","0",""
"2","75",""
"3","0",""
"4","0",""
"5","25",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","90",""
"3","10",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","92.3076923076923",""
"3","7.69230769230769",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","100",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","95.6521739130435",""
"3","4.34782608695652",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","96.2962962962963",""
"3","3.7037037037037",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","100",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","100",""
"3","0",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","85",""
"3","15",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","74.4186046511628",""
"3","25.5813953488372",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","61.2244897959184",""
"3","38.7755102040816",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","46.1538461538462",""
"3","53.8461538461538",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","29.3103448275862",""
"3","70.6896551724138",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","23.3333333333333",""
"3","76.6666666666667",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","7.69230769230769",""
"3","92.3076923076923",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","11.5942028985507",""
"3","88.4057971014493",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","18.4615384615385",""
"3","81.5384615384615",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","20.5128205128205",""
"3","79.4871794871795",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","16.4383561643836",""
"3","83.5616438356164",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","6.81818181818182",""
"3","93.1818181818182",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","5.37634408602151",""
"3","94.6236559139785",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","10.5882352941176",""
"3","89.4117647058823",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","5.61797752808989",""
"3","88.7640449438202",""
"4","5.61797752808989",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","8.16326530612245",""
"3","83.6734693877551",""
"4","8.16326530612245",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","8.82352941176471",""
"3","91.1764705882353",""
"4","0",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","6.12244897959184",""
"3","59.1836734693878",""
"4","34.6938775510204",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","14",""
"3","30",""
"4","56",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","10.1123595505618",""
"3","12.3595505617978",""
"4","77.5280898876404",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","10.4651162790698",""
"3","17.4418604651163",""
"4","72.0930232558139",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","11.4285714285714",""
"3","9.52380952380952",""
"4","79.0476190476191",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","2.80373831775701",""
"3","16.8224299065421",""
"4","79.4392523364486",""
"5","0.934579439252336",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","10.5882352941176",""
"3","17.6470588235294",""
"4","71.7647058823529",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","7.5",""
"3","20.8333333333333",""
"4","68.3333333333333",""
"5","3.33333333333333",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","4.5045045045045",""
"3","11.7117117117117",""
"4","83.7837837837838",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","8.25688073394495",""
"3","33.0275229357798",""
"4","58.7155963302752",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","3.87596899224806",""
"3","18.6046511627907",""
"4","67.4418604651163",""
"5","10.077519379845",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","2.77777777777778",""
"3","33.3333333333333",""
"4","63.8888888888889",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0.72463768115942",""
"3","24.6376811594203",""
"4","69.5652173913043",""
"5","5.07246376811594",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","2.5",""
"3","40.8333333333333",""
"4","56.6666666666667",""
"5","0",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","25.9259259259259",""
"4","71.8518518518518",""
"5","2.22222222222222",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","18.3823529411765",""
"4","75.7352941176471",""
"5","5.88235294117647",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","32.8125",""
"4","66.40625",""
"5","0.78125",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","24.6376811594203",""
"4","70.2898550724638",""
"5","5.07246376811594",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","25.531914893617",""
"4","68.0851063829787",""
"5","6.38297872340426",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","10.1351351351351",""
"4","86.4864864864865",""
"5","3.37837837837838",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","15.4929577464789",""
"4","79.5774647887324",""
"5","4.92957746478873",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","86.4285714285714",""
"5","13.5714285714286",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","96.6216216216216",""
"5","3.37837837837838",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","75.7142857142857",""
"5","24.2857142857143",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","82.8767123287671",""
"5","17.1232876712329",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","68.4931506849315",""
"5","31.5068493150685",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","62.5",""
"5","37.5",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","55.6338028169014",""
"5","44.3661971830986",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","43.9189189189189",""
"5","54.7297297297297",""
"6","1.35135135135135",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","53.6912751677852",""
"5","46.3087248322148",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","44.8979591836735",""
"5","53.7414965986395",""
"6","1.36054421768707",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","32.1678321678322",""
"5","64.3356643356643",""
"6","3.4965034965035",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","43.9189189189189",""
"5","49.3243243243243",""
"6","6.75675675675676",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","29.9319727891156",""
"5","64.6258503401361",""
"6","5.4421768707483",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","32.2147651006711",""
"5","58.3892617449664",""
"6","9.39597315436242",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","28.8590604026846",""
"5","59.7315436241611",""
"6","11.4093959731544",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","34.5323741007194",""
"5","53.2374100719424",""
"6","10.0719424460432",""
"7","2.15827338129496",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","33.3333333333333",""
"5","55.3333333333333",""
"6","10.6666666666667",""
"7","0.666666666666667",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","32.6666666666667",""
"5","56.6666666666667",""
"6","9.33333333333333",""
"7","1.33333333333333",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","23.2876712328767",""
"5","63.013698630137",""
"6","12.3287671232877",""
"7","1.36986301369863",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","24.1610738255034",""
"5","61.0738255033557",""
"6","11.4093959731544",""
"7","3.35570469798658",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","18.3098591549296",""
"5","66.1971830985916",""
"6","11.9718309859155",""
"7","3.52112676056338",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","9.79020979020979",""
"5","72.7272727272727",""
"6","15.3846153846154",""
"7","2.0979020979021",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","13.3333333333333",""
"5","65.3333333333333",""
"6","20.6666666666667",""
"7","0.666666666666667",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","7.48299319727891",""
"5","73.469387755102",""
"6","17.687074829932",""
"7","1.36054421768707",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","4.1958041958042",""
"5","76.9230769230769",""
"6","17.4825174825175",""
"7","1.3986013986014",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","77.1812080536913",""
"6","22.1476510067114",""
"7","0.671140939597315",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","2.06896551724138",""
"5","79.3103448275862",""
"6","17.2413793103448",""
"7","1.37931034482759",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0.735294117647059",""
"5","72.7941176470588",""
"6","25.7352941176471",""
"7","0.735294117647059",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","67.1428571428571",""
"6","30.7142857142857",""
"7","2.14285714285714",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","71.9178082191781",""
"6","26.027397260274",""
"7","2.05479452054795",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","76.551724137931",""
"6","21.3793103448276",""
"7","2.06896551724138",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","62.8571428571429",""
"6","36.4285714285714",""
"7","0.714285714285714",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","69.6551724137931",""
"6","26.8965517241379",""
"7","3.44827586206897",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","71.8120805369127",""
"6","27.5167785234899",""
"7","0.671140939597315",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","64.3835616438356",""
"6","32.1917808219178",""
"7","3.42465753424658",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","55.3191489361702",""
"6","43.2624113475177",""
"7","1.41843971631206",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","52.112676056338",""
"6","46.4788732394366",""
"7","1.40845070422535",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","45.3237410071942",""
"6","51.7985611510791",""
"7","2.87769784172662",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","50.6944444444444",""
"6","47.9166666666667",""
"7","1.38888888888889",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","31.5068493150685",""
"6","64.3835616438356",""
"7","3.42465753424658",""
"8","0.684931506849315",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","42.0689655172414",""
"6","53.1034482758621",""
"7","4.82758620689655",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","37.5",""
"6","57.6388888888889",""
"7","4.86111111111111",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","30.4054054054054",""
"6","66.2162162162162",""
"7","3.37837837837838",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","12.1428571428571",""
"6","85",""
"7","2.85714285714286",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","19.8630136986301",""
"6","78.7671232876712",""
"7","1.36986301369863",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","0",""
"4","0",""
"5","10.3448275862069",""
"6","87.5862068965517",""
"7","2.06896551724138",""
