"Vertical Axis: Transferred Data [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.51532108131061","12.9962785808165",""
"10.6122554682229","32.1847401628532",""
"15.7279852606965","41.8144246038073",""
"20.8614980395553","54.5411996879385",""
"25.987698157168","73.4154770220687",""
"31.1075818295342","86.4141932068506",""
"36.2424154466559","95.9049173800257",""
"41.391249725873","108.594191622865",""
"46.532914937513","127.649501998854",""
"51.6805239213364","137.119060889878",""
"56.8319303151658","155.815463598996",""
"61.9824787787275","165.679992913934",""
"67.0988242919142","185.127836260165",""
"72.2396139732843","191.482944684353",""
"77.3820560993087","207.354366079133",""
"82.521878059921","220.251149550568",""
"87.6782512861271","207.197377291945",""
"92.8625462174662","246.332172510215",""
"98.0880852175346","232.456319371193",""
"103.27625019381","274.952668004564",""
"108.461394953828","292.792267741105",""
"113.636421668117","271.275350623265",""
"118.837087674551","282.01993651196",""
"124.002037130417","309.045111425663",""
"129.155030318099","324.253743137068",""
"134.318967354789","310.984535112816",""
"139.484227464664","316.842350354566",""
"144.755638775319","283.122625706119",""
"150.027717489234","267.760701260084",""
"155.216471087806","326.99297461084",""
"160.384722359965","337.512128197947",""
"165.630910911862","270.276216702792",""
"170.823437336309","372.893113507851",""
"176.083094918488","351.848676861392",""
"181.340658938496","337.339661225038",""
"186.510689487072","404.466028505432",""
"191.759123017031","344.099072639042",""
"196.965303132102","429.699029934191",""
"202.261633252271","378.215147193994",""
"207.587329115851","414.853948882344",""
"212.809490032951","423.38760840607",""
"218.124072193533","400.431354693706",""
"223.377819806707","425.913751325259",""
"228.733585972519","440.937795644457",""
"234.04691462183","450.876315384558",""
"239.306774184987","436.361056909429",""
"244.663903931924","436.63317350189",""
"250.04665900275","452.235339285879",""
"255.402987809903","430.132065667056",""
"260.80749145492","446.759314007299",""
"266.126489819237","442.237771808255",""
"271.391752024349","467.768259147404",""
"276.703063378167","440.765493702311",""
"282.072597494933","460.15392451413",""
"287.358566801088","454.201524162606",""
"292.676125876333","456.049238348996",""
"297.992419986339","442.736734588398",""
"303.398596469663","454.270921572797",""
"308.747669885418","445.226388648479",""
"314.122125856778","458.242128843558",""
"319.368498789651","453.452352173197",""
"324.719380256429","435.975716694592",""
"330.115300967022","455.099409439815",""
"335.47556910166","456.401961552623",""
"340.845705529613","448.313178165632",""
"346.183498461397","456.722067599541",""
"351.429894860939","437.025945026875",""
"356.695477777204","447.400224980559",""
"361.978625216333","466.948350065726",""
"367.344117478618","455.206637572773",""
"372.679714879964","438.045858067749",""
"377.945488323237","458.016768999422",""
"383.328519686161","449.665095526967",""
"388.662335855535","414.653343787851",""
"393.954283295782","431.504090282705",""
"399.30463927678","452.804123283249",""
"404.577077254232","444.464530436013",""
"409.912754554001","435.872245103127",""
"415.265566154358","444.560004746342",""
"420.638907738274","452.150263480209",""
"426.011308141118","447.586874710429",""
"431.279885851414","434.329629903068",""
"436.531582365915","441.639237657174",""
"441.8519487812","433.998287926055",""
"447.218098668965","442.864133764302",""
"452.578648962368","445.562570521896",""
"457.854900832368","444.622608754881",""
"463.231796499276","445.64855266355",""
"468.586259147461","451.981609168614",""
"473.871157647131","430.431113249309",""
"479.195707275645","450.779659776077",""
"484.565086065408","447.324568940465",""
"489.882399578717","446.784069981968",""
"495.239051331943","424.134958163064",""
"500.613740573173","455.921808805773",""
"505.986019731558","457.756771170446",""
"511.315644306748","447.5599496611",""
"516.682009585017","428.940422129715",""
"521.983009013715","445.656073194719",""
"527.38656058242","452.140733688847",""
"532.712656496845","456.613800182476",""
"537.927824625756","441.271542080692",""
"543.300328673058","443.544511832244",""
"548.661503626858","444.354182351862",""
"554.087393230145","452.094970278079",""
"559.440873351222","456.679690264691",""
"564.749943358723","435.299988083622",""
"570.079540556132","450.340437715227",""
"575.422387202843","446.493223809544",""
"580.744351307219","445.063192623926",""
"586.173469533139","453.210533393551",""
"591.52461276503","428.392098221508",""
"596.886230233172","452.506323136136",""
