"Vertical Axis: Available System Memory [MB]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.51555407181639","662",""
"10.612608306363","651",""
"15.7282059591373","656",""
"20.8617681856214","655",""
"25.9879227667204","658",""
"31.1077667692402","658",""
"36.2427079419312","658",""
"41.3915260179716","658",""
"46.5332127407254","658",""
"51.681430461134","657",""
"56.8321876104365","657",""
"61.9828972676695","657",""
"67.0991240506824","656",""
"72.2398874717317","656",""
"77.3823276422003","655",""
"82.5220546186736","654",""
"87.6814567214548","653",""
"92.8627822809882","652",""
"98.0946597961473","653",""
"103.276482066855","652",""
"108.46160643322","652",""
"113.636830658645","652",""
"118.837361731728","651",""
"124.003292876609","649",""
"129.155301022895","648",""
"134.319443392945","646",""
"139.484471909139","645",""
"144.756082686487","644",""
"150.028311698833","641",""
"155.225627279445","640",""
"160.384905902845","637",""
"165.631413769068","636",""
"170.824172904657","635",""
"176.083934690023","635",""
"181.340945846469","633",""
"186.510859899792","633",""
"191.762782141306","633",""
"196.965649544844","632",""
"202.267367779983","632",""
"207.587880582588","629",""
"212.811047772831","626",""
"218.132761566065","624",""
"223.378038270227","624",""
"228.760665391831","622",""
"234.064704871709","622",""
"239.309043467815","621",""
"244.677636403509","620",""
"250.050521784193","618",""
"255.410841601377","616",""
"260.815679646436","615",""
"266.130569667374","614",""
"271.392742373682","613",""
"276.708228001045","613",""
"282.089601611378","611",""
"287.361851296743","611",""
"292.681924378657","610",""
"297.996595936076","610",""
"303.4044525212","610",""
"308.753009670223","607",""
"314.126459368439","607",""
"319.369137138938","611",""
"324.725867393761","609",""
"330.118148256273","609",""
"335.482355718394","609",""
"340.853472997266","606",""
"346.191994792634","606",""
"351.43108942617","606",""
"356.699099466552","606",""
"361.980165914942","606",""
"367.351157758877","606",""
"372.684608239315","603",""
"377.946065212199","603",""
"383.341489490983","604",""
"388.664034116068","607",""
"393.957219423139","606",""
"399.308619112206","606",""
"404.579607184712","606",""
"409.913234503268","604",""
"415.271176923324","604",""
"420.649761072986","604",""
"426.013122896905","605",""
"431.283996429714","605",""
"436.532089413599","604",""
"441.853840083027","605",""
"447.225139228589","603",""
"452.583454601074","602",""
"457.864132173223","601",""
"463.234580372645","602",""
"468.594612164395","601",""
"473.871625304333","599",""
"479.201628419254","600",""
"484.566592681472","600",""
"489.883448874089","599",""
"495.252514216192","598",""
"500.616240611586","598",""
"505.992603808585","598",""
"511.321129920144","598",""
"516.683527096321","601",""
"521.987783922258","601",""
"527.391090767123","601",""
"532.725418454021","601",""
"537.928449006787","597",""
"543.303109473411","598",""
"548.664994573333","598",""
"554.098843847472","597",""
"559.444693669167","597",""
"564.762752807969","595",""
"570.081404480178","595",""
"575.43214682313","595",""
"580.746557453531","595",""
"586.175948339803","594",""
"591.532849845441","593",""
"596.897207605995","593",""
