"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Active Users (time values are fractions of a day)"
"0","1","0"
"5.28100007213652","1","2"
"10.3750003036112","1","3"
"15.4530003201216","1","4"
"20.5780001822859","1","5"
"25.688000000082","1","6"
"30.8129998622462","1","7"
"35.9380003530532","1","8"
"41.0630002152175","1","9"
"46.2190003367141","1","10"
"51.374999829568","1","11"
"56.5159999066964","1","12"
"61.6409997688606","1","13"
"66.7969998903573","1","14"
"71.969000226818","1","15"
"77.1090001333505","1","17"
"82.2339999955148","1","18"
"87.4060003319755","1","19"
"92.6090002991259","1","20"
"97.7500003762543","1","21"
"102.905999869108","1","22"
"108.141000266187","1","23"
"113.374999864027","1","24"
"118.562999786809","1","25"
"123.828000272624","1","26"
"129.031000239775","1","27"
"134.281000052579","1","28"
"139.484000019729","1","30"
"144.671999942511","1","31"
"149.999999860302","1","32"
"155.26599988807","1","33"
"160.546999960206","1","34"
"165.781000186689","1","35"
"171.030999999493","1","36"
"176.328000286594","1","37"
"181.609000358731","1","38"
"186.875000386499","1","39"
"192.172000044957","1","40"
"197.391000227071","1","42"
"202.687999885529","1","43"
"207.89099985268","1","44"
"213.156000338495","1","45"
"218.469000211917","1","46"
"223.797000129707","1","47"
"229.093999788165","1","48"
"234.422000334598","1","49"
"239.813000313006","1","50"
"245.078000170179","1","52"
"250.406000087969","1","53"
"255.734000005759","1","54"
"261.03100029286","1","55"
"266.406000056304","1","56"
"271.718999929726","1","57"
"276.983999786898","1","58"
"282.359000178985","1","59"
"287.593999947421","1","60"
"292.953000124544","1","61"
"298.297000257298","1","63"
"303.563000285067","1","64"
"308.781000296585","1","65"
"314.077999955043","1","66"
"319.468999933451","1","67"
"324.813000066206","1","68"
"330.124999769032","1","69"
"335.453000315465","1","70"
"340.781000233255","1","71"
"346.094000106677","1","73"
"351.48399991449","1","74"
"356.766000157222","1","75"
"362.094000075012","1","76"
"367.453000252135","1","77"
"372.859000274912","1","78"
"378.218999993987","1","79"
"383.500000066124","1","80"
"388.827999983914","1","81"
"394.250000221655","1","83"
"399.624999985099","1","84"
"404.891000012867","1","85"
"410.233999975026","1","86"
"415.656000212766","1","87"
"420.922000240535","1","88"
"426.266000373289","1","89"
"431.671999767423","1","90"
"437.030999944545","1","91"
"442.453000182286","1","93"
"447.891000006348","1","94"
"453.203000337817","1","95"
"458.563000056893","1","96"
"463.890999974683","1","97"
"469.26600036677","1","98"
"474.546999810264","1","99"
"479.969000048004","1","100"
"485.358999855816","1","100"
"490.766000049189","1","100"
"496.155999857001","1","100"
"501.531000249088","1","100"
"506.875000381842","1","100"
"512.26600036025","1","100"
"517.62499990873","1","100"
"523.077999777161","1","100"
"528.391000279225","1","100"
"533.749999827705","1","100"
"539.125000219792","1","100"
"544.5160001982","1","100"
"549.890999961644","1","100"
"555.296999984421","1","100"
"560.624999902211","1","100"
"566.063000354916","1","100"
"571.6090003727","1","100"
"576.906000031158","1","100"
"582.500000065193","1","100"
"587.952999933623","1","100"
"593.391000386328","1","100"
"598.796999780461","1","100"
