"Vertical Axis: Request Hierarchy","Horizontal Axis: Active Users (time values are fractions of a day)"
"443.139002303365","0","1"
"5331.04179441801","0","2"
"9910.27630606683","0","3"
"14751.9614923126","0","4"
"19699.7833523534","0","5"
"24188.2993508952","0","6"
"29226.0421366403","0","7"
"33801.7843049885","0","8"
"38670.3863200491","0","9"
"43753.6999814222","0","10"
"48262.8180397229","0","11"
"53333.2454264439","0","12"
"58003.6236449046","0","13"
"62763.0693286437","0","14"
"67496.2342979345","0","15"
"72141.0193194945","0","16"
"76969.4880215223","0","17"
"81875.5350191156","0","18"
"86738.8838525567","0","19"
"91554.8520831558","0","20"
"96296.7642535574","0","21"
"100916.02619886","0","22"
"105922.445729834","0","23"
"110642.433884754","0","24"
"115263.099639759","0","25"
"120055.330495915","0","26"
"124990.154893988","0","27"
"129704.074679882","0","28"
"134682.143400907","0","29"
"139332.55483588","0","30"
"144185.277179083","0","31"
"149004.520127558","0","32"
"153781.188670627","0","33"
"158524.465539615","0","34"
"163256.087296011","0","35"
"168260.997976","0","36"
"173035.896741066","0","37"
"177831.820245311","0","38"
"182609.433042468","0","39"
"187386.535718925","0","40"
"192367.953468946","0","41"
"197094.268684987","0","42"
"201732.77441686","0","43"
"206698.335402963","0","44"
"211613.214808027","0","45"
"216236.131128398","0","46"
"221015.147455892","0","47"
"225815.745297238","0","48"
"230581.588721472","0","49"
"235608.01582324","0","50"
"240585.891782335","0","51"
"244865.205493994","0","52"
"249676.20270174","0","53"
