"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"80476.6153240146","0","CLICK User:10 Request:30 Result=500"
"92884.6261186827","0","CLICK User:7 Request:51 Result=500"
"132365.085227312","0","CLICK User:9 Request:73 Result=500"
"133695.021573971","0","CLICK User:2 Request:101 Result=500"
"135082.870308936","0","CLICK User:7 Request:83 Result=500"
"135144.932666023","0","CLICK User:28 Request:5 Result=500"
"136427.264079653","0","CLICK User:24 Request:20 Result=500"
"136449.919473006","0","CLICK User:3 Request:99 Result=500"
"137794.543999307","0","CLICK User:14 Request:58 Result=500"
"137809.726934568","0","CLICK User:26 Request:14 Result=500"
"139214.082236709","0","CLICK User:5 Request:93 Result=500"
"139267.23927203","0","CLICK User:16 Request:52 Result=500"
"139281.31005477","0","CLICK User:20 Request:37 Result=500"
"140590.967287742","0","CLICK User:1 Request:109 Result=500"
"140604.339098964","0","CLICK User:15 Request:56 Result=500"
"140611.375468111","0","CLICK User:13 Request:64 Result=500"
"141953.561416325","0","CLICK User:21 Request:35 Result=500"
"141962.094903123","0","CLICK User:28 Request:10 Result=500"
"141962.92601434","0","CLICK User:18 Request:46 Result=500"
"143275.321025438","0","CLICK User:7 Request:89 Result=500"
"143279.027362416","0","CLICK User:20 Request:40 Result=500"
"143335.343737821","0","CLICK User:29 Request:7 Result=500"
"143336.871306269","0","CLICK User:8 Request:85 Result=500"
"144575.143209542","0","CLICK User:13 Request:67 Result=500"
"144611.22628714","0","CLICK User:5 Request:97 Result=500"
"144635.201960026","0","CLICK User:24 Request:26 Result=500"
"144645.284526385","0","CLICK User:3 Request:105 Result=500"
"145966.384275096","0","CLICK User:15 Request:60 Result=500"
"145976.914663735","0","CLICK User:16 Request:57 Result=500"
"145983.40906456","0","CLICK User:28 Request:13 Result=500"
"147339.814976484","0","CLICK User:31 Request:3 Result=500"
"147340.592728964","0","CLICK User:18 Request:50 Result=500"
"147355.309962579","0","CLICK User:1 Request:114 Result=500"
"148664.368236745","0","CLICK User:29 Request:11 Result=500"
"148669.202091327","0","CLICK User:8 Request:89 Result=500"
"150294.3502596","0","CLICK User:12 Request:75 Result=500"
"150385.438372754","0","CLICK User:19 Request:49 Result=500"
"150491.834018011","0","CLICK User:27 Request:20 Result=500"
