"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"239.791370132237","0","CLICK User:1 Request:1"
"1501.23633031572","0","CLICK User:1 Request:2"
"2754.99008952255","0","CLICK User:1 Request:3"
"4009.15395671796","0","CLICK User:1 Request:4"
"5125.62602230172","0","CLICK User:2 Request:1"
"5273.00285371465","0","CLICK User:1 Request:5"
"6390.08868445571","0","CLICK User:2 Request:2"
"6536.77911578148","0","CLICK User:1 Request:6"
"7648.9754982826","0","CLICK User:2 Request:3"
"7792.6149831892","0","CLICK User:1 Request:7"
"8907.02868660682","0","CLICK User:2 Request:4"
"9043.77344047917","0","CLICK User:1 Request:8"
"9714.63998916063","0","CLICK User:3 Request:1"
"10163.6375572873","0","CLICK User:2 Request:5"
"10303.4922036181","0","CLICK User:1 Request:9"
"10968.3739134443","0","CLICK User:3 Request:2"
"11419.5404723226","0","CLICK User:2 Request:6"
"11558.3947121771","0","CLICK User:1 Request:10"
"12221.385399541","0","CLICK User:3 Request:3"
"12676.4809493944","0","CLICK User:2 Request:7"
"12814.2509732382","0","CLICK User:1 Request:11"
"13489.9614336459","0","CLICK User:3 Request:4"
"13935.2188616151","0","CLICK User:2 Request:8"
"14066.4838687599","0","CLICK User:1 Request:12"
"14553.5407433068","0","CLICK User:4 Request:1"
"14749.3022157844","0","CLICK User:3 Request:5"
"15189.3880367477","0","CLICK User:2 Request:9"
"15319.2137548208","0","CLICK User:1 Request:13"
"15810.4745156158","0","CLICK User:4 Request:2"
"16005.8800769372","0","CLICK User:3 Request:6"
"16446.1583804646","0","CLICK User:2 Request:10"
"16580.0097498425","0","CLICK User:1 Request:14"
"17062.4129603064","0","CLICK User:4 Request:3"
"17267.3719704599","0","CLICK User:3 Request:7"
"17704.9669720593","0","CLICK User:2 Request:11"
"17835.9352934521","0","CLICK User:1 Request:15"
"18320.2865168618","0","CLICK User:4 Request:4"
"18522.2392790145","0","CLICK User:3 Request:8"
"18958.1038930926","0","CLICK User:2 Request:12"
"19093.7244817428","0","CLICK User:1 Request:16"
"19416.2174242816","0","CLICK User:5 Request:1"
"19577.3373431539","0","CLICK User:4 Request:5"
"19778.6509179239","0","CLICK User:3 Request:9"
"20217.8047768641","0","CLICK User:2 Request:13"
"20350.7328445375","0","CLICK User:1 Request:17"
"20758.8436519167","0","CLICK User:5 Request:2"
"20833.1315851596","0","CLICK User:4 Request:6"
"21039.0627859127","0","CLICK User:3 Request:10"
"21480.6736610379","0","CLICK User:2 Request:14"
"21607.6202422375","0","CLICK User:1 Request:18"
"22016.7018433907","0","CLICK User:5 Request:3"
"22087.2049380578","0","CLICK User:4 Request:7"
"22296.8578408708","0","CLICK User:3 Request:11"
"22734.6363853507","0","CLICK User:2 Request:15"
"22860.6889981827","0","CLICK User:1 Request:19"
"23279.4497624698","0","CLICK User:5 Request:4"
"23346.0445391803","0","CLICK User:4 Request:8"
"23548.0333394328","0","CLICK User:3 Request:12"
"23992.2747164793","0","CLICK User:2 Request:16"
"24114.5318748612","0","CLICK User:1 Request:20"
"24271.8527075369","0","CLICK User:6 Request:1"
"24541.1045258545","0","CLICK User:5 Request:5"
"24597.034539306","0","CLICK User:4 Request:9"
"24803.9876576492","0","CLICK User:3 Request:13"
"25247.4521203114","0","CLICK User:2 Request:17"
"25377.3133177541","0","CLICK User:1 Request:21"
"25521.9076726232","0","CLICK User:6 Request:2"
"25797.6267933494","0","CLICK User:5 Request:6"
"25853.9493147872","0","CLICK User:4 Request:10"
"26057.8095819441","0","CLICK User:3 Request:14"
"26505.2996959111","0","CLICK User:2 Request:18"
"26631.4204738312","0","CLICK User:1 Request:22"
"26778.0874384873","0","CLICK User:6 Request:3"
"27052.0918161386","0","CLICK User:5 Request:7"
"27109.7645091764","0","CLICK User:4 Request:11"
"27318.671786498","0","CLICK User:3 Request:15"
"27764.0281097179","0","CLICK User:2 Request:19"
"27891.0096115568","0","CLICK User:1 Request:23"
"28028.8338322329","0","CLICK User:6 Request:4"
"28311.8231507077","0","CLICK User:5 Request:8"
"28365.726370251","0","CLICK User:4 Request:12"
"28576.5154509861","0","CLICK User:3 Request:16"
"29016.9898688241","0","CLICK User:2 Request:20"
"29145.9425709133","0","CLICK User:1 Request:24"
"29151.9695939009","0","CLICK User:7 Request:1"
"29283.619845539","0","CLICK User:6 Request:5"
"29568.7815071469","0","CLICK User:5 Request:9"
"29618.1081673788","0","CLICK User:4 Request:13"
"29827.5440034977","0","CLICK User:3 Request:17"
"30287.9771032352","0","CLICK User:2 Request:21"
"30412.549919054","0","CLICK User:1 Request:25"
"30420.4129295762","0","CLICK User:7 Request:2"
"30540.2122336777","0","CLICK User:6 Request:6"
"30880.86111503","0","CLICK User:5 Request:10"
"30880.9214578948","0","CLICK User:4 Request:14"
"31084.0112360649","0","CLICK User:3 Request:18"
"31550.2196508215","0","CLICK User:2 Request:22"
"31675.3076159121","0","CLICK User:1 Request:26"
"31688.1991985015","0","CLICK User:7 Request:3"
"31798.0067299056","0","CLICK User:6 Request:7"
"32149.8684888722","0","CLICK User:4 Request:15"
"32154.7769339399","0","CLICK User:5 Request:11"
"32341.6909132306","0","CLICK User:3 Request:19"
"32814.1691192596","0","CLICK User:2 Request:23"
"32941.0290972735","0","CLICK User:1 Request:27"
"32948.8990919237","0","CLICK User:7 Request:4"
"33055.2860768617","0","CLICK User:6 Request:8"
"33408.7075312645","0","CLICK User:4 Request:16"
"33414.6999129778","0","CLICK User:5 Request:12"
"33602.2595050488","0","CLICK User:3 Request:20"
"33768.5052150483","0","CLICK User:8 Request:1"
"34076.7295843466","0","CLICK User:2 Request:24"
"34207.7945660692","0","CLICK User:1 Request:28"
"34223.1867458015","0","CLICK User:7 Request:5"
"34315.0456273074","0","CLICK User:6 Request:9"
"34669.5655453417","0","CLICK User:4 Request:17"
"34676.6499652889","0","CLICK User:5 Request:13"
"34861.1024585527","0","CLICK User:3 Request:21"
"35019.5231516855","0","CLICK User:8 Request:2"
"35341.4908878084","0","CLICK User:2 Request:25"
"35467.5200339708","0","CLICK User:1 Request:29"
"35481.2268039653","0","CLICK User:7 Request:6"
"35569.3399580114","0","CLICK User:6 Request:10"
"35934.7436615547","0","CLICK User:4 Request:18"
"35935.4194457675","0","CLICK User:5 Request:14"
"36119.4204850058","0","CLICK User:3 Request:22"
"36292.8193387707","0","CLICK User:8 Request:3"
"36607.1254866191","0","CLICK User:2 Request:26"
"36728.2864162903","0","CLICK User:1 Request:30"
"36746.9069392898","0","CLICK User:7 Request:7"
"36833.5791280735","0","CLICK User:6 Request:11"
"37208.8379947731","0","CLICK User:4 Request:19"
"37209.5000900953","0","CLICK User:5 Request:15"
"37379.4138640526","0","CLICK User:3 Request:23"
"37552.6272193812","0","CLICK User:8 Request:4"
"37862.9510175176","0","CLICK User:2 Request:27"
"37990.1755670064","0","CLICK User:1 Request:31"
"38007.0386040684","0","CLICK User:7 Request:8"
"38093.2853197823","0","CLICK User:6 Request:12"
"38467.6242371586","0","CLICK User:4 Request:20"
"38477.4461558662","0","CLICK User:5 Request:16"
"38633.8023408003","0","CLICK User:3 Request:24"
"38643.0523991178","0","CLICK User:9 Request:1"
"38807.3439501389","0","CLICK User:8 Request:5"
"39128.9077243057","0","CLICK User:2 Request:28"
"39256.7753722889","0","CLICK User:1 Request:32"
"39277.7973178155","0","CLICK User:7 Request:9"
"39352.5068130167","0","CLICK User:6 Request:13"
"39730.4629499001","0","CLICK User:4 Request:21"
"39743.2229515204","0","CLICK User:5 Request:17"
"39895.5420311799","0","CLICK User:3 Request:25"
"39909.401055162","0","CLICK User:9 Request:2"
"40068.1516784955","0","CLICK User:8 Request:6"
