"Vertical Axis: ","Horizontal Axis: Active Users (time values are fractions of a day)"
"5.31963336122328","100","2"
"6.09745177110499","100","2"
"6.24336724360219","100","2"
"10.4079680518055","100","3"
"11.3294161688148","100","3"
"11.3805126070492","100","3"
"15.5259992540951","100","4"
"16.4428568435374","100","4"
"16.6905740813427","100","4"
"20.6337716106377","100","5"
"21.559155982115","100","5"
"22.0610840204551","100","5"
"25.7591931376753","100","6"
"26.6703575454422","100","6"
"27.3753954762407","100","6"
"30.8807027150099","100","7"
"31.8124870619031","100","7"
"32.6845671726434","100","7"
"36.0139939573326","100","8"
"36.9444574659629","100","8"
"38.0241337935408","100","8"
"41.1565668262307","100","9"
"42.1531686289738","100","9"
"43.3286685877674","100","9"
"46.3244012856383","100","10"
"47.3327087660583","100","10"
"48.6398796495085","100","11"
"51.4474968187298","100","11"
"52.5102950235295","100","11"
"53.9721936726595","100","12"
"56.5900210780979","100","12"
"57.7103450298851","100","12"
"59.2876577889089","100","13"
"61.7437685515897","100","13"
"62.9434017451939","100","14"
"64.5998145015637","100","14"
"66.894938881897","100","14"
"68.1345221250187","100","15"
"69.9129461984694","100","15"
"72.0402229892347","100","15"
"73.4194957739042","100","16"
"74.9727926314657","100","16"
"77.1731924029451","100","17"
"78.7521626351953","100","17"
"80.2828560613151","100","17"
"82.3401250717619","100","18"
"83.9726241743015","100","18"
"85.6082951883549","100","18"
"87.5541992068824","100","19"
"89.3564511690732","100","19"
"90.9102824520994","100","19"
"92.6764778763781","100","20"
"94.6952727232092","100","20"
"96.2353715346504","100","20"
"97.825039215878","100","21"
"100.07234718379","100","21"
"101.564640757415","100","22"
"103.058576439184","100","22"
"105.481442753199","100","22"
"106.899011466541","100","23"
"108.316567049723","100","23"
"110.753137060716","100","23"
"112.21913231989","100","24"
"113.493627542048","100","24"
"116.026965438345","100","25"
"117.532620766047","100","25"
"118.745094418425","100","25"
"121.299865765062","100","26"
"122.600576330232","100","26"
"123.960852845823","100","26"
"126.656148756336","100","27"
"127.684860226649","100","27"
"129.196316012231","100","27"
"132.065929329007","100","28"
"132.748073288644","100","28"
"134.381796848482","100","28"
"137.554842305377","100","29"
"138.100692685802","100","29"
"139.587879185762","100","30"
"142.941676386245","100","30"
"143.436514976065","100","30"
"144.91854355791","100","31"
"148.311431760182","100","31"
"148.761339779218","100","31"
"150.175000174603","100","32"
"153.820343367663","100","32"
"153.840754900413","100","32"
"155.420607647061","100","33"
"158.919055634166","100","34"
"159.256319169056","100","34"
"160.666270433812","100","34"
"163.9968135615","100","35"
"164.617482668887","100","35"
"165.957791004164","100","35"
"169.339826709819","100","36"
"170.121588358297","100","36"
"171.23974974473","100","36"
"174.672967933075","100","37"
"175.437296360292","100","37"
"176.525900917575","100","37"
"180.022593374298","100","38"
"180.800824965184","100","38"
"181.792392887923","100","38"
"185.353279257559","100","39"
"186.167019551368","100","39"
"187.062127728524","100","39"
"190.69751323143","100","40"
"191.382494702539","100","40"
"192.302882628937","100","40"
"196.076882397064","100","41"
"196.742667294307","100","41"
"197.619149640527","100","42"
"201.421740751967","100","42"
"202.084079401153","100","43"
"202.828403051226","100","43"
"206.754005606858","100","44"
"207.484430283737","100","44"
"208.074641050748","100","44"
"212.123677729991","100","45"
"212.846400310654","100","45"
"213.374611857094","100","45"
"217.460629493413","100","46"
"218.255076553026","100","46"
"218.701390819224","100","46"
"222.54245609428","100","47"
"223.577106587569","100","47"
"224.01066699818","100","47"
"227.875926130276","100","48"
"228.952557657468","100","48"
"229.298859491919","100","48"
"232.957543486672","100","49"
"234.152231079648","100","49"
"234.68595757282","100","49"
"238.324269425304","100","50"
"239.45269217177","100","50"
"239.983950194787","100","50"
"243.669202929423","100","51"
"244.756877480238","100","51"
"245.332820791469","100","52"
"249.012914769894","100","52"
"250.121196409041","100","53"
"250.644436932627","100","53"
"254.091086716328","100","53"
"255.515918643291","100","54"
"255.948286164862","100","54"
"259.183343972488","100","54"
"260.840819433755","100","55"
"261.334494747237","100","55"
"264.529353591029","100","56"
"266.190126398746","100","56"
"266.549586609471","100","56"
"269.86158240782","100","57"
"271.535854696616","100","57"
"271.92230241553","100","57"
"275.189444189136","100","58"
"276.88996003682","100","58"
"277.275019311114","100","58"
"280.533899420178","100","59"
"282.247822279089","100","59"
"282.475116809539","100","59"
"285.872474015552","100","60"
"287.623553272832","100","60"
"287.865436249579","100","60"
"291.220730288347","100","61"
"293.039926303483","100","61"
"293.189804570134","100","61"
"296.565888402018","100","62"
"298.356107549982","100","63"
"298.469027208765","100","63"
"301.65394512431","100","63"
"303.699258704668","100","64"
"303.724944371421","100","64"
"306.986700264978","100","64"
"309.009053944007","100","65"
"309.088315135024","100","65"
"312.315628103572","100","65"
"314.382231819966","100","66"
"314.41168891577","100","66"
"317.383199261359","100","67"
"319.708931442404","100","67"
"319.786641598304","100","67"
"322.720665615323","100","68"
"325.049041149085","100","68"
"325.110359277506","100","68"
"327.801957790725","100","69"
"330.374078549089","100","69"
"330.462359601569","100","69"
"332.863877112873","100","70"
"335.708263480414","100","70"
"335.811001956953","100","70"
"337.944521719939","100","71"
"340.998678603007","100","71"
"341.158525175686","100","71"
"343.064198382755","100","72"
"346.402669613037","100","73"
"346.523729971267","100","73"
"348.404228191013","100","73"
"351.678869800491","100","74"
"351.748037809275","100","74"
"353.48560585214","100","74"
"356.99316337691","100","75"
"357.124537895179","100","75"
"358.552946254342","100","75"
"362.390935160754","100","76"
"362.546251828095","100","76"
"363.898164431513","100","76"
"367.735859725189","100","77"
"367.900589041345","100","77"
"369.229964143488","100","77"
"373.103487175046","100","78"
"373.324809438071","100","78"
"374.580734143585","100","78"
"378.405735924538","100","79"
"378.644182431007","100","79"
"379.656562216706","100","80"
"383.759054293213","100","80"
"384.05033097782","100","80"
"384.993513980129","100","81"
"389.10161179703","100","81"
"389.501771035146","100","82"
"390.322758618763","100","82"
"394.548509377589","100","83"
"394.903928571927","100","83"
"395.413457576312","100","83"
"399.79305470388","100","84"
"400.308917474148","100","84"
"400.760329594963","100","84"
"405.102135327255","100","85"
"405.700668660402","100","85"
"406.126304600166","100","85"
"410.493813599214","100","86"
"411.093891262716","100","86"
"411.204491911681","100","86"
"415.81451050343","100","87"
"416.286698169739","100","87"
"416.317270770447","100","87"
"421.181204873804","100","88"
"421.631909362782","100","88"
"421.811591417345","100","88"
"426.588235935014","100","89"
"426.958635245541","100","89"
"427.225959444566","100","89"
"431.795993345523","100","90"
"432.294275948479","100","90"
"432.68304966134","100","91"
"437.364419779609","100","91"
"437.622755685429","100","92"
"438.097173523451","100","92"
"442.743624957921","100","93"
"442.972986510855","100","93"
"443.433904309067","100","93"
"448.123250860095","100","94"
"448.303328775026","100","94"
"448.700922323927","100","94"
"453.431743978634","100","95"
"453.638846557314","100","95"
"454.046297504292","100","95"
"458.800708469931","100","96"
"458.966271132225","100","96"
"459.568459399169","100","96"
"464.188216100091","100","97"
"464.317609081601","100","97"
"464.969398624686","100","97"
"469.443030329274","100","98"
"469.653348400425","100","98"
"470.263575119184","100","98"
"474.828241019459","100","99"
"474.982929394658","100","99"
"475.732115394554","100","99"
"480.239660906624","100","100"
"480.295896545511","100","100"
"481.204488838665","100","100"
"485.624244422126","100","100"
"485.633331610582","100","100"
"486.584040709085","100","100"
"490.703356152807","100","100"
"491.026328765248","100","100"
"491.9012092319","100","100"
"496.076280085877","100","100"
"496.433028220067","100","100"
"497.233252270889","100","100"
"501.417085411693","100","100"
"501.795025066035","100","100"
"502.603235886125","100","100"
"506.745759866128","100","100"
"507.174555704705","100","100"
"507.898714780789","100","100"
"512.109570350422","100","100"
"512.525565120707","100","100"
"513.340147700336","100","100"
"517.465285113052","100","100"
"517.979082816391","100","100"
"518.697230234569","100","100"
"522.807987607364","100","100"
"523.304466349774","100","100"
"524.061667334815","100","100"
"528.155328400677","100","100"
"528.618350935664","100","100"
"529.410341537821","100","100"
"533.243929605578","100","100"
"534.025644041352","100","100"
"534.796112355062","100","100"
"538.331330657947","100","100"
"539.354330787851","100","100"
"540.169205024661","100","100"
"543.677994270221","100","100"
"544.783685356658","100","100"
"545.526715825615","100","100"
"549.047291764736","100","100"
"550.186225064917","100","100"
"550.958364540745","100","100"
"554.141160119512","100","100"
"555.543189148342","100","100"
"556.291079732201","100","100"
"559.202841422583","100","100"
"560.918678770626","100","100"
"561.849472209457","100","100"
"564.273423018847","100","100"
"566.377478422537","100","100"
"567.282619159698","100","100"
"569.356914635799","100","100"
"571.818036370544","100","100"
"572.65391942272","100","100"
"574.433002797842","100","100"
"577.284611032966","100","100"
"578.018856307156","100","100"
"579.516375963984","100","100"
"582.867543780006","100","100"
"583.343682507134","100","100"
"584.847901618781","100","100"
"588.299341676107","100","100"
"588.803274997241","100","100"
"590.182069508834","100","100"
"593.659273175781","100","100"
"594.209246705936","100","100"
"595.541958545011","100","100"
"599.122416675862","100","100"
"599.561106788712","100","100"
