"Vertical Axis: Bandwidth [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.3183611324903","12.9992369904885",""
"10.4076710866884","32.1963372833778",""
"15.5254505810096","41.8930893712916",""
"20.6335106836204","57.7383287679721",""
"25.7589246678","67.3659479462734",""
"30.8801699657359","86.351353378875",""
"36.0137816398453","96.0693616267099",""
"41.1562251626953","108.587775587233",""
"46.3238344538202","121.069582981014",""
"51.4469417202466","146.159414459267",""
"56.5897534463179","150.018298109842",""
"61.7434824817121","163.075346729603",""
"66.8946701326565","178.077690083185",""
"72.0399832939661","193.674395267932",""
"77.1728680600467","210.665871597055",""
"82.3398437510913","219.838977912608",""
"87.5529361971982","222.366769230303",""
"92.6762325938073","248.733113583239",""
"97.8248260602954","260.918623888819",""
"103.058173594689","251.786906681379",""
"108.313749373175","281.917779536849",""
"113.490343325758","284.41659271122",""
"118.740644690876","300.734639034976",""
"123.960518725145","320.939355054172",""
"129.191704252915","321.043653607626",""
"134.381288683338","355.43560315825",""
"139.587223236473","380.026555537417",""
"144.917904091162","394.264827939217",""
"150.172667196529","407.194680370344",""
"155.415819608358","408.548237169889",""
"160.663100198489","429.902877506168",""
"165.957567232707","488.528871237994",""
"171.230634899128","513.811746501868",""
"176.521950694851","499.075958997261",""
"181.79033033528","513.844630681378",""
"187.059461188503","510.537063492489",""
"192.302627289222","588.385396183686",""
"197.615469843234","617.275053157209",""
"202.826035990608","650.266917604949",""
"208.068815729373","677.918139398072",""
"213.367236059332","696.5627073661",""
"218.689397395479","674.973319073186",""
"224.00287131465","705.354731158567",""
"229.295082196201","741.327593139493",""
"234.680042575244","751.580461494725",""
"239.981324442073","826.090596634748",""
"245.329705591074","889.609952501474",""
"250.611682769737","864.565763791772",""
"255.945236056538","876.6964137632",""
"261.329505565652","918.782315224442",""
"266.543534443623","1011.69330921904",""
"271.918120599126","1016.80091198988",""
"277.266824414835","1006.43124947858",""
"282.466165392529","1023.95412357393",""
"287.859054153531","1103.20943305364",""
"293.175063869849","1107.43819542532",""
"298.45362664808","1149.29560055193",""
"303.696669828149","1227.06928365025",""
"309.001292063656","1197.74321218563",""
"314.376552047816","1219.08265951769",""
"319.704563010103","1253.45728999276",""
"325.041109135379","1283.04310955562",""
"330.354111206871","1296.09346980117",""
"335.693403770591","1320.20870073911",""
"340.990377268619","1349.85205043833",""
"346.381081673788","1380.15692729342",""
"351.669727297743","1402.84291053048",""
"356.984300239276","1462.8608794639",""
"362.368004872128","1515.65403141262",""
"367.717742618126","1511.90888113102",""
"373.085746372793","1540.71099385325",""
"378.404108064014","1582.7382029484",""
"383.730556257848","1446.82864041644",""
"389.082942664501","1672.92194278406",""
"394.532349502521","1633.70541941987",""
"399.790382297191","1727.25675146862",""
"405.08352374394","1737.36659860247",""
"410.477069012961","1771.22993799101",""
"415.803916978275","1779.96538762116",""
"421.170603526426","1728.20811805932",""
"426.528818327469","1884.28102237565",""
"431.790418614656","1896.66534582543",""
"437.347010025017","1824.13620391236",""
"442.713237296919","1937.85406571742",""
"448.113550744578","1993.91067626065",""
"453.40738278189","1852.32864422172",""
"458.793306970579","1999.95014624389",""
"464.151614800205","2029.76470751167",""
"469.441033986163","1665.16504605389",""
"474.806328178581","2029.07365169882",""
"480.195479313712","2009.95082843807",""
"485.62279395845","2040.0947781229",""
"490.992921726085","2055.44437548968",""
"496.410731531521","2057.64612158554",""
"501.771730764664","2189.22207350438",""
"507.156188565865","2080.00198401839",""
"512.48974101457","2170.75731944544",""
"517.95925292181","1989.02949124335",""
"523.298663656973","2133.72907144785",""
"528.597979072759","1948.20084184723",""
"534.004356419601","2070.53687411158",""
"539.349851726965","2060.64429122117",""
"544.770026916829","2138.17406084955",""
"550.133568931247","1916.00488233034",""
"555.52860209887","2133.96794453525",""
"560.902770324161","2077.06725584739",""
"566.345536094671","2106.82932141622",""
"571.812365817443","2117.87630103373",""
"577.217420929196","2035.47264937865",""
"582.841095725853","2098.50205708991",""
"588.278010473398","1909.30852831471",""
"593.6506106223","2180.99421188425",""
"599.088142487383","2019.25871026686",""
