"Vertical Axis: Open Requests","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.31957637073986","2",""
"10.407940115294","2",""
"15.5259492477396","2",""
"20.6337447915866","2",""
"25.7591663186243","2",""
"30.8806764546891","3",""
"36.013965741456","3",""
"41.156538330989","4",""
"46.324373907857","5",""
"51.4474660885671","5",""
"56.5899928622213","6",""
"61.743737821427","6",""
"66.8949106660204","5",""
"72.0401880685953","5",""
"77.1731546886546","8",""
"82.3400968558853","8",""
"87.5541645656082","9",""
"92.6764499398667","9",""
"97.8250104412712","11",""
"103.058543753466","10",""
"108.316535481465","11",""
"113.493597929346","11",""
"118.745064246992","12",""
"123.960823791851","10",""
"129.196285002703","11",""
"134.38176835324","11",""
"139.587711287328","13",""
"144.918513386478","14",""
"150.174970561901","13",""
"155.420577754994","13",""
"160.666238865554","12",""
"165.957761950192","15",""
"171.239718735202","17",""
"176.525867673126","14",""
"181.792361878395","14",""
"187.062090852329","13",""
"192.302851898775","17",""
"197.619116396078","17",""
"202.828373997254","16",""
"208.074555006293","16",""
"213.374581126931","18",""
"218.701358971601","16",""
"224.010634871192","16",""
"229.298831555407","16",""
"234.685926283927","18",""
"239.983919464625","22",""
"245.332791178767","19",""
"250.644403688178","25",""
"255.948114355316","23",""
"261.334465134535","23",""
"266.549555320578","26",""
"271.922268053621","25",""
"277.274984949204","22",""
"282.47508244763","27",""
"287.865404681321","22",""
"293.189773839971","25",""
"298.468995640507","29",""
"303.699229930061","33",""
"309.009021817019","23",""
"314.38219382631","28",""
"319.708903785258","29",""
"325.048996450666","28",""
"330.374044466545","23",""
"335.708221016917","27",""
"340.998648152209","33",""
"346.402531886036","27",""
"351.678838232233","42",""
"356.993132367382","22",""
"362.390903033765","27",""
"367.735464144186","33",""
"373.103454209962","33",""
"378.405698489613","48",""
"383.759022724955","41",""
"389.101582184328","29",""
"394.548474456949","34",""
"399.793015034034","41",""
"405.102100685981","31",""
"410.493780913496","32",""
"415.814479773267","39",""
"421.181173584911","39",""
"426.588204646121","28",""
"431.795960380439","41",""
"437.363741201745","39",""
"442.743592830932","32",""
"448.123219291837","40",""
"453.431712689741","44",""
"458.800679415959","49",""
"464.188185649293","35",""
"469.442999040381","86",""
"474.828211406757","88",""
"480.239629617731","42",""
"485.633284677243","50",""
"491.026299152546","42",""
"496.432995254984","51",""
"501.794992659682","32",""
"507.174523018987","44",""
"512.525534390544","34",""
"517.979051527499","46",""
"523.304435898976","46",""
"528.61831908804","50",""
"534.025573082612","55",""
"539.354300337054","41",""
"544.783654626496","37",""
"550.186194893485","49",""
"555.543159815004","36",""
"560.918645246812","45",""
"566.377445736818","39",""
"571.818006478477","39",""
"577.284579464708","38",""
"582.867513049843","44",""
"588.299312622135","61",""
"593.659244680539","40",""
"599.120407481956","43",""
