"Vertical Axis: Available System Memory [MB]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.31960235169554","714",""
"10.4079468200567","714",""
"15.5259567905977","715",""
"20.6337509376192","712",""
"25.7591727440219","713",""
"30.8806828800867","713",""
"36.0139721668536","713",""
"41.1565450357517","712",""
"46.3243803332546","711",""
"51.4474727933299","711",""
"56.589999287619","711",""
"61.7437448055549","710",""
"66.894917091418","710",""
"72.0401947733581","710",""
"77.1731689362754","710",""
"82.3401032812829","708",""
"87.5541718291012","707",""
"92.6764566446294","706",""
"97.8250171460339","704",""
"103.058550458229","704",""
"108.316541906862","703",""
"113.493604354743","702",""
"118.74507123112","702",""
"123.960830217248","701",""
"129.196292545561","700",""
"134.381774778638","699",""
"139.587717712726","698",""
"144.918520091241","697",""
"150.174977266664","696",""
"155.420584459757","695",""
"160.666245570317","693",""
"165.957768654955","692",""
"171.239725439965","691",""
"176.525874657254","690",""
"181.792368583158","689",""
"187.062103423759","689",""
"192.302858603538","686",""
"197.619123380206","686",""
"202.828380422651","683",""
"208.074562549151","682",""
"213.374587831694","682",""
"218.701365955729","681",""
"224.01064185532","681",""
"229.29883826017","680",""
"234.68593298869","678",""
"239.983926169387","675",""
"245.33279788353","675",""
"250.644410672306","673",""
"255.948121060079","673",""
"261.334471839298","673",""
"266.549563142802","670",""
"271.922275037749","663",""
"277.274991933332","662",""
"282.475089431757","662",""
"287.865411665449","661",""
"293.189780824099","661",""
"298.469002624635","661",""
"303.699237752284","659",""
"309.009028801147","659",""
"314.382200810438","659",""
"319.708910210655","659",""
"325.049010698287","657",""
"330.374050891943","657",""
"335.708237499459","656",""
"340.998654856972","656",""
"346.402538870164","656",""
"351.678844657631","655",""
"356.993139072145","655",""
"362.390910017893","655",""
"367.735470848949","654",""
"373.103460914725","656",""
"378.405707149931","655",""
"383.759029429718","655",""
"389.101589168456","654",""
"394.548481161712","654",""
"399.793021738796","653",""
"405.102107670109","651",""
"410.493787618259","650",""
"415.81448647803","650",""
"421.181180569039","649",""
"426.588211630249","649",""
"431.795967364567","648",""
"437.363747906508","648",""
"442.743600094425","647",""
"448.123226275965","647",""
"453.431719394504","646",""
"458.800686679452","645",""
"464.188192074691","645",""
"469.443006024509","644",""
"474.82821811152","645",""
"480.239636601859","644",""
"485.633309261373","643",""
"491.026305857309","641",""
"496.433002518476","641",""
"501.794999364444","640",""
"507.174530003115","640",""
"512.525541095307","639",""
"517.979057952896","638",""
"523.304442883104","638",""
"528.618326072168","639",""
"534.025579787375","637",""
"539.354307041817","636",""
"544.783661051893","635",""
"550.186201598248","634",""
"555.543166519767","635",""
"560.918651951575","634",""
"566.377452720946","634",""
"571.81801374197","633",""
"577.284586169471","634",""
"582.867520033971","633",""
"588.299319326898","633",""
"593.659251105937","632",""
"599.120414186719","630",""
